name_1,ra_1,dec_1,GAL_LONG,GAL_LAT,flux,fluxerr,velcenter,velerr_1,w50max,velerr_1a,w20max,velerr_1b,DLG,MHI,a,ra_dec,dec_d,id,id_old,x_geo,y_geo,z_geo,x,y,z,x_min,x_max,y_min,y_max,z_min,z_max,n_pix,n_chan,n_los,rel,bf_a,bf_b1,bf_b2,bf_c,bf_chi2,bf_f_int,bf_f_peak,bf_flag,bf_w,bf_w20,bf_w50,bf_xe,bf_xp,bf_z,ell3s_maj,ell3s_min,ell3s_pa,ell_maj,ell_min,ell_pa,f_int,f_peak,f_wm50,flag,kin_pa,rms,snr_int,w20,w50,wm50,ra_2,dec_2,freq,name_2,Separation,run,cubo
J1928+1956,19:28:36,19:56:54,54.8,1.2,1.7,0.4,7042,5,230,10,249,15,99,9.6,a,292.15,19.9483333333333,622,1969,131.598,26.991,1116.955,131.545,27.114,1116.354,130,133,25,30,1110,1125,112,16,16,0.771919,4.144611E-06,0.01432942,0.00701113,0,48.25603,1.018816,0.114337,4,-0.1283847,12.89036,8.58785,553.5072,1107.128,0,2.65607,1.583668,-6.615275,2.488134,1.314642,-7.947927,1.045885,0.020793,0.09030952,0,350.4698,0.0049237,20.07165,11.95168,8.719313,10.83734,292.15344,19.951153,1387089660,SoFiA J192836.83+195704.1,15.4506228826609,3,1930+22
J1925+2056,19:25:59,20:56:51,55.4,2.2,3.4,0.4,7536,4,352,7,367,11,109.9,10,a,291.495833333333,20.9475,593,1866,168.303,87.394,1052.616,168.297,87.379,1052.371,166,170,85,89,1038,1065,198,28,17,0.795183,0.05378529,0.0190794,0.005894712,0,100.8905,1.400866,0.06813096,4,-0.05585544,31.51206,20.38238,518.0095,1036.056,0,2.714175,1.680708,14.33587,2.323424,1.592424,28.56683,1.388306,0.01774692,0.1263351,0,231.5912,0.0043277,22.79803,24.5036,13.32121,13.45513,291.4952,20.953196,1385807230,SoFiA J192558.85+205711.5,20.6113063566151,3,1930+22
J1923+2335,19:23:48,23:35:08,57.5,3.9,1.6,0.3,7912,4,80,8,106,12,110.4,9.7,a,290.95,23.5855555555556,155,1778,197.05,245.392,948.425,197.154,245.432,947.878,193,199,243,248,939,958,339,20,29,0.78141,0.008005066,0.04214547,0.6597851,0,170.2208,3.153751,0.2679997,6,-0.350819,17.02864,11.47262,468.5211,937.0964,0,2.864023,2.480811,-1.256653,2.508736,2.344466,-29.76175,3.260726,0.02764842,0.4096638,0,348.7721,0.0046753,37.8792,17.05511,14.04385,8.715974,290.95123,23.583614,1383713020,SoFiA J192348.30+233501.0,8.08599869941329,4,1930+22
J1925+2159,19:25:22,21:59:58,56.3,2.8,2.1,0.4,9942,8,182,16,244,23,143.1,10,a,291.341666666667,21.9994444444444,87,1052,176.487,150.44,516.113,176.335,150.34,515.429,175,179,148,155,499,540,275,42,21,0.815202,0.3467648,0.02176285,0.00206392,0,326.4184,-3488771,0.0866912,4,-0.04901924,2.537614,2.3107,246.0109,492.049,0,2.577499,1.941512,7.727119,2.013327,1.602662,-4.617074,2.193598,0.02296073,0.07590926,0,263.0022,0.0050427,26.2318,34.47762,7.319809,34.23241,291.34344,22.001633,1375046140,SoFiA J192522.43+220005.9,9.86330507164375,4,1930+22
J1924+2033,19:24:31,20:33:45,54.9,2.3,0.7,0.2,9831,8,137,15,164,23,143.3,9.5,a,291.129166666667,20.5625,207,897,188.595,65.807,3017.748,188.595,65.604,3019.716,186,191,63,69,3000,3030,301,31,29,0.675242,0.05420382,0.02325274,0.2967755,0,205.683,2.575332,0.2117662,6,-0.1138984,19.14252,8.248862,1499.512,2999,0,2.700816,2.17205,4.509596,2.578758,2.086815,-12.9254,2.082345,0.02083282,0.06150969,0,242.5898,0.0045543,26.35411,17.54835,16.56019,27.46248,291.1362,20.587614,1425235970,SoFiA J192432.69+203515.4,93.466538178714,5,1930+22
J1937+2317,19:37:10,23:17:10,58.7,1,2.1,0.4,7147,5,168,9,189,14,103.9,9.7,a,294.291666666667,23.2861111111111,58,393,13.602,227.325,1116.83,13.55,227.477,1116.002,10,18,224,231,1097,1131,872,35,59,0.687564,0.4893918,0.02393789,0,0,757.9926,5.182942,0.2240679,6,0,40,40,548.012,1096.059,0,3.658868,3.164811,60.14541,3.237383,2.844965,87.14073,6.427932,0.02671994,0.2018112,0,267.1699,0.0049412,44.05376,34.16829,31.36087,33.38911,294.28656,23.281864,1387082500,SoFiA J193708.78+231654.7,22.779581678839,5,1930+22
J1922+1956,19:22:30,19:56:42,54.1,2.4,0.8,0.3,7967,5,102,10,115,15,116,9.4,a,290.625,19.945,508,1149,217.835,27.376,937.671,217.845,27.301,937.55,216,220,26,29,932,948,85,17,14,0.680578,0.06559435,0.0649884,0.004637563,0,10.8998,0.7473345,0.082435,3,-0.1445961,13.4891,8.078966,464.0325,928.1446,0,1.893871,1.370008,46.38731,1.721308,1.479796,-89.40607,0.6877674,0.01774434,0.06028637,0,223.2071,0.0049702,15.18911,12.07811,7.117927,10.7775,290.62302,19.943832,1383506050,SoFiA J192229.53+195637.8,7.92024203609352,7,1930+22
J1924+2105,19:24:03,21:05:20,55.3,2.7,0.8,0.3,3104,7,79,14,98,21,47.9,8.6,a,291.0125,21.0888888888889,963,2068,195.232,95.744,1996.598,195.23,95.798,1996.554,194,196,94,97,1991,2003,82,13,11,0.606192,2.435686E-05,0.08392079,0.01336476,0,27.53357,0.7152136,0.07768849,4,-0.110606,12.69931,9.535138,994.542,1989.111,0,1.95649,1.408041,-21.52604,1.776901,1.271624,0.03393334,0.7224785,0.01724595,0.08145582,0,346.4258,0.0045517,17.52841,11.96735,10.08083,10.18411,291.0131,21.089888,1404730240,SoFiA J192403.14+210523.6,4.10872214340739,7,1930+22
J1925+2045,19:25:03,20:45:36,55.1,2.3,1.9,0.4,8976,5,295,11,315,16,131,9.9,a,291.2625,20.76,379,863,181.418,75.859,717.825,181.442,75.878,718.437,180,183,74,77,694,748,177,55,13,0.650482,0.09160354,0.008242303,0.0017149,0,268.4923,1.167952,0.02290088,1,-0.01249404,64,59.5278,342.5041,685.0125,0,2.177037,1.535214,74.71175,1.506693,1.346203,-66.04079,1.417219,0.01821475,0.02794974,0,68.20672,0.0046731,22.79535,51.5703,46.63099,51.96344,291.26218,20.75989,1379114750,SoFiA J192502.92+204535.6,1.15919930355416,7,1930+22
J1927+2011,19:27:33,20:11:48,54.9,1.5,9.6,1,7135,5,80,11,192,16,101.7,10.4,a,291.8875,20.1966666666667,541,1222,146.911,41.566,1122.355,146.8,41.888,1119.613,141,153,36,47,1100,1155,2303,56,111,1,4.481759E-08,2.582854E-05,0.0005273177,0,1455.583,23.56625,1.350854,4,-0.06995533,24.98492,16.4981,544.5,1089.07,0,6.22187,5.248874,79.28933,4.351501,4.079649,57.74219,26.31856,0.05157958,0,0,279.0563,0.004473,122.6079,23.6886,16.41535,0,291.882,20.196714,1387154940,SoFiA J192731.68+201148.2,18.6221182821361,7,1930+22
J1942+2246,19:42:27,22:46:24,58.9,-0.3,2.3,0.4,4571,5,181,11,219,16,68.4,9.4,a,295.6125,22.7733333333333,113,1543,147.265,196.588,1677.739,147.295,196.585,1677.779,145,149,195,198,1651,1692,211,42,14,0.618072,0.1683775,0.01340964,0,0,163.7316,-5483019800,0.04209438,6,0,1.007182,1.002582,826.5067,1653.052,0,2.478172,1.639883,39.40846,2.038662,1.485177,26.23206,1.934613,0.02026691,0.2490267,0,358.614,0.0053051,25.40797,39.22906,16.0513,1.422082,295.612,22.775227,1398341380,SoFiA J194226.88+224630.8,7.01527743788965,2,1945+22
