name,ra,dec,GAL_LONG,GAL_LAT,flux,fluxerr,velcenter,velerr,w50max,velerr,w20max,velerr,DLG,MHI,a,ra_dec,dec_d
J1851+2629,18:51:55,26:29:02,56.9,11.6,4.0,0.6,3731,7,394.0,14,433.0,21,54.1,9.4,a,282.9791666666667,26.483888888888888
J1840+2340b,18:40:46,23:40:52,53.2,12.8,6.0,0.6,4804,4,467.0,9,497.0,13,69.4,9.8,a,280.1916666666667,23.68111111111111
J1854+2629,18:54:06,26:29:30,57.1,11.2,0.7,0.3,3952,4,114.0,7,120.0,11,56.9,8.7,a,283.525,26.491666666666667
J1846+2716,18:46:19,27:16:29,57.1,13.1,0.9,0.3,3413,7,76.0,14,114.0,20,50.7,8.8,a,281.57916666666665,27.274722222222223
J1847+2547,18:47:11,25:47:33,55.8,12.3,1.3,0.3,3951,8,162.0,15,191.0,23,53.6,8.9,a,281.7958333333334,25.7925
J1844+2515,18:44:14,25:15:26,55.0,12.7,1.7,0.4,4637,6,203.0,13,226.0,19,62.0,9.2,a,281.05833333333334,25.25722222222222
J1854+2439,18:54:21,24:39:28,55.4,10.4,11.1,1.3,4317,3,313.0,7,333.0,10,63.9,10.0,a,283.58750000000003,24.657777777777778
J1844+2408,18:44:14,24:08:13,54.0,12.2,19.2,1.5,3837,4,369.0,9,423.0,13,52.6,10.1,a,281.05833333333334,24.136944444444445
J1840+2836,18:40:31,28:36:12,57.8,14.8,2.1,0.3,3081,5,165.0,9,197.0,14,41.5,8.9,a,280.1291666666667,28.60333333333333
J1839+2343,18:39:48,23:43:08,53.2,13.0,2.2,0.5,4763,7,170.0,13,212.0,20,69.0,9.4,a,279.95000000000005,23.718888888888888
J1842+2453,18:42:15,24:53:41,54.5,13.0,2.2,0.4,3364,4,164.0,9,188.0,13,44.6,9.0,a,280.5625,24.89472222222222
J1843+2410,18:43:18,24:10:56,53.9,12.4,2.4,0.3,4006,3,134.0,7,157.0,10,55.1,9.2,a,280.825,24.182222222222226
J1843+2455,18:43:21,24:55:22,54.6,12.7,2.5,0.4,3466,2,166.0,5,173.0,7,45.6,9.1,a,280.8375,24.922777777777778
J1851+2633,18:51:42,26:33:28,56.9,11.7,2.7,0.4,4544,4,288.0,8,306.0,12,66.0,9.4,a,282.925,26.55777777777778
J1840+2441,18:40:18,24:41:04,54.1,13.3,2.9,0.6,4561,2,253.0,5,258.0,7,63.1,9.4,a,280.075,24.684444444444445
J1845+2754,18:45:28,27:54:53,57.6,13.5,2.9,0.5,4681,4,186.0,8,205.0,12,69.0,9.5,a,281.36666666666673,27.914722222222224
J1837+2624,18:37:25,26:24:56,55.5,14.6,26.4,1.7,3199,3,275.0,6,308.0,8,47.3,10.1,a,279.3541666666667,26.415555555555557
J1840+2340a,18:40:42,23:40:47,53.2,12.8,3.1,0.4,3697,3,159.0,6,175.0,8,53.7,9.3,a,280.175,23.67972222222222
J1838+2522,18:38:32,25:22:22,54.6,13.9,42.3,2.3,3424,2,440.0,3,452.0,5,48.1,10.4,a,279.6333333333333,25.372777777777777
J1840+2412,18:40:20,24:12:03,53.7,13.1,6.7,1.0,4011,5,627.0,10,644.0,15,56.4,9.7,a,280.08333333333326,24.200833333333332
J1837+2747,18:37:54,27:47:40,56.8,15.0,6.8,0.7,3146,4,226.0,8,262.0,13,44.0,9.5,a,279.475,27.794444444444448
