tabla,freq
SoFiA,1365488130
SoFiA,1365439740
SoFiA,1365422590
SoFiA,1365425410
SoFiA,1365462140
SoFiA,1365376130
SoFiA,1365406720
SoFiA,1365394430
SoFiA,1365378430
SoFiA,1365469820
SoFiA,1367995140
SoFiA,1367988740
SoFiA,1370515070
SoFiA,1381100160
SoFiA,1418979070
SoFiA,1366233730
SoFiA,1366402560
SoFiA,1366302340
SoFiA,1366271740
SoFiA,1368423680
SoFiA,1365400060
SoFiA,1366519170
SoFiA,1366514940
SoFiA,1364824580
SoFiA,1366850430
SoFiA,1366151170
SoFiA,1367986820
SoFiA,1364932990
SoFiA,1366411260
SoFiA,1367960580
SoFiA,1365169660
SoFiA,1367983360
SoFiA,1365617920
SoFiA,1367967100
SoFiA,1367984260
SoFiA,1365653250
SoFiA,1370175740
SoFiA,1371121920
SoFiA,1370191360
SoFiA,1368016900
SoFiA,1371363070
SoFiA,1371472640
SoFiA,1370200700
SoFiA,1371801220
SoFiA,1372071940
SoFiA,1372336640
SoFiA,1374805760
SoFiA,1374884990
SoFiA,1375154560
SoFiA,1375199490
SoFiA,1375312130
SoFiA,1375250560
SoFiA,1380921340
SoFiA,1380901760
SoFiA,1389215490
SoFiA,1390147070
SoFiA,1391832320
SoFiA,1395766140
SoFiA,1399073920
SoFiA,1399382910
SoFiA,1401352060
SoFiA,1416552060
SoFiA,1418920700
SoFiA,1419014660
SoFiA,1424834050
SoFiA,1367119230
SoFiA,1368510980
SoFiA,1367699330
SoFiA,1366591360
SoFiA,1366848510
SoFiA,1364953600
SoFiA,1365043070
SoFiA,1365316860
SoFiA,1367578750
SoFiA,1365317760
SoFiA,1365916420
SoFiA,1365941760
SoFiA,1366976640
SoFiA,1365997180
SoFiA,1366133500
SoFiA,1366561150
SoFiA,1366444030
SoFiA,1366358910
SoFiA,1366401150
SoFiA,1366489730
SoFiA,1366534400
SoFiA,1366445570
SoFiA,1366487550
SoFiA,1366450430
SoFiA,1366503040
SoFiA,1366750210
SoFiA,1366849920
SoFiA,1366559360
SoFiA,1366846980
SoFiA,1366828540
SoFiA,1366836220
SoFiA,1366689920
SoFiA,1366824320
SoFiA,1366940420
SoFiA,1367074560
SoFiA,1367035390
SoFiA,1367115390
SoFiA,1367588740
SoFiA,1367755900
SoFiA,1367806080
SoFiA,1367734400
SoFiA,1367729660
SoFiA,1367973380
SoFiA,1368422910
SoFiA,1367992060
SoFiA,1368814980
SoFiA,1369045890
SoFiA,1369106690
SoFiA,1369366530
SoFiA,1369416580
SoFiA,1370196220
SoFiA,1370339840
SoFiA,1370318460
SoFiA,1370329860
SoFiA,1370368000
SoFiA,1370393090
SoFiA,1370415620
SoFiA,1370671870
SoFiA,1370886660
SoFiA,1371198850
SoFiA,1371675260
SoFiA,1371808380
SoFiA,1371737090
SoFiA,1372415230
SoFiA,1372025860
SoFiA,1372263420
SoFiA,1372338050
SoFiA,1373155070
SoFiA,1372862720
SoFiA,1373166590
SoFiA,1373702660
SoFiA,1373995010
SoFiA,1374140160
SoFiA,1374808580
SoFiA,1374804740
SoFiA,1375226240
SoFiA,1375763840
SoFiA,1375881980
SoFiA,1376249090
SoFiA,1377174530
SoFiA,1376731650
SoFiA,1376727940
SoFiA,1376845180
SoFiA,1377261060
SoFiA,1377369980
SoFiA,1377377150
SoFiA,1378144510
SoFiA,1378165760
SoFiA,1378327420
SoFiA,1382084100
SoFiA,1378526340
SoFiA,1383099390
SoFiA,1378497540
SoFiA,1378688640
SoFiA,1380067840
SoFiA,1380770180
SoFiA,1382653310
SoFiA,1382719360
SoFiA,1380997630
SoFiA,1384009980
SoFiA,1383975300
SoFiA,1381685250
SoFiA,1383475580
SoFiA,1384503940
SoFiA,1384551940
SoFiA,1384430980
SoFiA,1384990720
SoFiA,1384880510
SoFiA,1384982020
SoFiA,1385037820
SoFiA,1385071740
SoFiA,1385496700
SoFiA,1386206210
SoFiA,1386532350
SoFiA,1387143040
SoFiA,1386454910
SoFiA,1387586940
SoFiA,1389154050
SoFiA,1389231740
SoFiA,1389273860
SoFiA,1390610820
SoFiA,1392249340
SoFiA,1393259650
SoFiA,1393571460
SoFiA,1393502720
SoFiA,1393685760
SoFiA,1393580420
SoFiA,1394073220
SoFiA,1394165120
SoFiA,1394262400
SoFiA,1394531710
SoFiA,1394621950
SoFiA,1395521150
SoFiA,1395598460
SoFiA,1395515520
SoFiA,1395614720
SoFiA,1395504380
SoFiA,1395623170
SoFiA,1395536770
SoFiA,1395479940
SoFiA,1395593860
SoFiA,1395866110
SoFiA,1396451970
SoFiA,1396456960
SoFiA,1396528260
SoFiA,1396876160
SoFiA,1397246980
SoFiA,1397279360
SoFiA,1397420030
SoFiA,1397433340
SoFiA,1397785470
SoFiA,1397898750
SoFiA,1397994620
SoFiA,1398039040
SoFiA,1398126210
SoFiA,1398331900
SoFiA,1398400260
SoFiA,1398427900
SoFiA,1398490370
SoFiA,1398444160
SoFiA,1398529540
SoFiA,1398484350
SoFiA,1398508160
SoFiA,1398663300
SoFiA,1398819970
SoFiA,1399110020
SoFiA,1399185020
SoFiA,1399433470
SoFiA,1399404030
SoFiA,1399306620
SoFiA,1399354750
SoFiA,1399378820
SoFiA,1399446400
SoFiA,1399459200
SoFiA,1399479420
SoFiA,1399435900
SoFiA,1399439100
SoFiA,1399477500
SoFiA,1399513090
SoFiA,1399538050
SoFiA,1399518980
SoFiA,1399844100
SoFiA,1399954820
SoFiA,1399920260
SoFiA,1399928960
SoFiA,1400027900
SoFiA,1400157820
SoFiA,1400345090
SoFiA,1400388740
SoFiA,1400326270
SoFiA,1400411260
SoFiA,1400449790
SoFiA,1400480510
SoFiA,1400476540
SoFiA,1401232640
SoFiA,1402482050
SoFiA,1401373440
SoFiA,1401309310
SoFiA,1401432700
SoFiA,1401340540
SoFiA,1402354300
SoFiA,1402161280
SoFiA,1402754300
SoFiA,1402228610
SoFiA,1402399360
SoFiA,1402420740
SoFiA,1402440700
SoFiA,1402695940
SoFiA,1402377470
SoFiA,1402926340
SoFiA,1402951680
SoFiA,1402965380
SoFiA,1402983300
SoFiA,1403006720
SoFiA,1403283070
SoFiA,1403302660
SoFiA,1403332860
SoFiA,1403272190
SoFiA,1403743620
SoFiA,1403403780
SoFiA,1403352580
SoFiA,1403397250
SoFiA,1403506300
SoFiA,1403389570
SoFiA,1403456900
SoFiA,1403380740
SoFiA,1403445630
SoFiA,1403563260
SoFiA,1403895300
SoFiA,1403924740
SoFiA,1404499200
SoFiA,1404156160
SoFiA,1404375040
SoFiA,1404372740
SoFiA,1404390910
SoFiA,1404300420
SoFiA,1404427140
SoFiA,1404498050
SoFiA,1404540420
SoFiA,1404620420
SoFiA,1404827260
SoFiA,1405120380
SoFiA,1404776320
SoFiA,1404757250
SoFiA,1404795140
SoFiA,1404968960
SoFiA,1404982400
SoFiA,1405047680
SoFiA,1405078910
SoFiA,1405406340
SoFiA,1405853820
SoFiA,1405260800
SoFiA,1405406850
SoFiA,1405348350
SoFiA,1405637630
SoFiA,1405503490
SoFiA,1405970690
SoFiA,1405972350
SoFiA,1406080900
SoFiA,1406033920
SoFiA,1406070140
SoFiA,1406174850
SoFiA,1406092540
SoFiA,1406366340
SoFiA,1406631300
SoFiA,1406657150
SoFiA,1406692100
SoFiA,1406772350
SoFiA,1406935170
SoFiA,1406792450
SoFiA,1406931580
SoFiA,1406929150
SoFiA,1406976510
SoFiA,1406883580
SoFiA,1406919550
SoFiA,1407677060
SoFiA,1406971010
SoFiA,1407054080
SoFiA,1407218940
SoFiA,1407163650
SoFiA,1407472130
SoFiA,1407570050
SoFiA,1407509250
SoFiA,1407789820
SoFiA,1407510400
SoFiA,1407510910
SoFiA,1407716350
SoFiA,1407848960
SoFiA,1407852160
SoFiA,1407795710
SoFiA,1407804800
SoFiA,1407864580
SoFiA,1407902720
SoFiA,1408277250
SoFiA,1407887740
SoFiA,1407933950
SoFiA,1407919360
SoFiA,1407975810
SoFiA,1408535300
SoFiA,1408562180
SoFiA,1408573180
SoFiA,1409508990
SoFiA,1408730240
SoFiA,1408858880
SoFiA,1408792320
SoFiA,1408888960
SoFiA,1408807810
SoFiA,1408900860
SoFiA,1408900860
SoFiA,1408898560
SoFiA,1408957700
SoFiA,1409012610
SoFiA,1408962940
SoFiA,1408971520
SoFiA,1408999940
SoFiA,1409585410
SoFiA,1410046210
SoFiA,1410219900
