name;ra;dec;GAL_LONG;GAL_LAT;flux;fluxerr;velcenter;velerr;w50max;velerr;w20max;velerr;DLG;MHI;a
J1923+2335;19:23:48;23:35:08;57,5;3,9;1.6;0,3;7912;4;80;8;106;12;110,4;9,7;a
J1935+1212;19:35:14;12:12:50;48,8;-3,9;1.6;0,4;7358;6;128;12;158;18;108,1;9,7;a
J1958+1608;19:58:36;16:08:37;55,1;-6,9;1.6;0,4;5725;7;217;14;238;20;78,3;9,4;a
J2003+2515;20:03:29;25:15:07;63,5;-3,1;1.6;0,4;3048;5;125;11;145;16;41,0;8,8;a
J2025+1223;20:25:08;12:23:49;55,3;-14,3;1.6;0,4;5557;5;104;10;123;14;80,2;9,4;a
J2054+2555;20:54:30;25:55:57;70,7;-12,1;1.6;0,4;6911;3;263;7;269;10;102,6;9,6;a
J1847+0402;18:47:16;04:02:31;36,1;2,8;1.6*;0,8;2763;8;173;16;185;24;43,4;8,9;a
J2136+3541;21:36:33;35:41:48;84,3;-12,2;1.6*;1,0;4709;17;115;34;152;51;69,2;9,3;a
J1844+2515;18:44:14;25:15:26;55,0;12,7;1.7;0,4;4637;6;203;13;226;19;62,0;9,2;a
J1901+2820;19:01:52;28:20:01;59,5;10,4;1.7;0,4;3921;4;133;8;146;11;55,7;9,1;a
J1903+2421;19:03:48;24:21:15;56,1;8,3;1.7;0,3;4436;4;267;8;281;12;64,2;9,2;a
J1917+2354;19:17:60;23:54:48;57,2;5,2;1.7;0,4;8110;6;156;11;186;17;117,0;9,8;a
J1928+1956;19:28:36;19:56:54;54,8;1,2;1.7;0,4;7042;5;230;10;249;15;99,0;9,6;a
J1930+1449;19:30:12;14:49:13;50,5;-1,6;1.7;0,4;9125;9;123;17;184;26;130,3;9,8;a
J1932+0826;19:32:56;08:26:23;45,2;-5,3;1.7;0,4;7573;7;146;15;187;22;110,3;9,7;a
J2004+1244;20:04:36;12:44:42;52,9;-9,9;1.7;0,4;4453;10;387;20;432;29;61,6;9,2;a
