tabla,velcenter
SoFiA,4588.98650871103
SoFiA,4555.9195598045
SoFiA,4494.70127595731
SoFiA,4478.87169040814
SoFiA,4426.43355001222
SoFiA,4432.64718999312
SoFiA,4453.20665570439
SoFiA,4443.04828300464
SoFiA,4437.96804134906
SoFiA,4423.70452946355
SoFiA,4421.00294686316
SoFiA,4416.73529059907
SoFiA,4425.92067144041
SoFiA,4425.24527579033
SoFiA,4417.14052798913
SoFiA,4409.62886199322
SoFiA,4404.36077592245
SoFiA,4408.38571187475
SoFiA,4339.76551382477
SoFiA,4316.39682433135
SoFiA,4323.69109735242
SoFiA,4321.8548654287
SoFiA,4300.97247617224
SoFiA,4273.55141277824
SoFiA,4234.02599296765
SoFiA,4224.81317417802
SoFiA,4237.99816363479
SoFiA,4220.06007729047
SoFiA,4211.92789154099
SoFiA,4205.44409330004
SoFiA,4206.28200602846
SoFiA,4046.69867757868
SoFiA,3782.99677783199
SoFiA,4016.98126897436
SoFiA,4030.51661992458
SoFiA,4004.4737857791
SoFiA,4023.92518050191
SoFiA,3809.95983855079
SoFiA,3850.69885992013
SoFiA,3725.53538228848
SoFiA,3836.48811331979
SoFiA,3800.44942355282
SoFiA,3795.9369363656
SoFiA,3791.72415599813
SoFiA,3737.85291045715
SoFiA,3805.0695519218
SoFiA,3689.22442365009
SoFiA,3683.87613434586
SoFiA,3680.98459671889
SoFiA,3677.20238107833
SoFiA,3672.25932916419
SoFiA,3613.93258294398
SoFiA,3609.79789519853
SoFiA,3603.42384875071
SoFiA,3616.22892815431
SoFiA,3516.72837461496
SoFiA,3588.45539265542
SoFiA,3599.261723057
SoFiA,3589.83362190391
SoFiA,3566.81740451538
SoFiA,3591.45457146412
SoFiA,3577.24382486378
SoFiA,3593.31824133613
SoFiA,3579.62248391898
SoFiA,3554.79536194365
SoFiA,3484.71462080032
SoFiA,3478.50098081942
SoFiA,3357.25479795835
SoFiA,3429.65721164885
SoFiA,3383.46014918216
SoFiA,3383.94558980565
SoFiA,3380.11060887995
SoFiA,3399.20953149787
SoFiA,3372.46386375399
SoFiA,3357.49751827008
SoFiA,3348.5548577405
SoFiA,3331.66996648804
SoFiA,3288.0140801548
SoFiA,3226.14783860582
SoFiA,3298.7655346598
SoFiA,3302.79047061213
SoFiA,3294.79336399269
SoFiA,3258.10671652389
SoFiA,3255.2700547935
SoFiA,3241.49198353148
SoFiA,3234.90054410881
SoFiA,3165.7927948239
SoFiA,3071.34715560329
SoFiA,3196.51063323493
SoFiA,3165.68515364218
SoFiA,3178.03223037054
SoFiA,3116.97646360166
SoFiA,3145.2882050092
SoFiA,3046.68044009485
SoFiA,3046.33007860137
SoFiA,3023.41939178319
SoFiA,3033.33504417119
SoFiA,3025.69040965663
SoFiA,3003.59019761857
SoFiA,3020.96264010594
SoFiA,2963.17409979443
SoFiA,2907.25133996629
SoFiA,2901.79540948031
SoFiA,2894.41882261441
SoFiA,2877.4811660768
SoFiA,2843.11619115521
SoFiA,2873.2388371496
SoFiA,2843.87390065019
SoFiA,2844.38677922198
SoFiA,2834.39092360052
SoFiA,2854.00483540166
SoFiA,2846.41296617228
SoFiA,2686.53204151417
SoFiA,2835.55175987412
SoFiA,2818.01891091987
SoFiA,2783.22337127137
SoFiA,2794.89294173821
SoFiA,2729.78480106874
SoFiA,2709.11769417572
SoFiA,2721.9502115276
SoFiA,2662.7327872938
SoFiA,2721.70749121584
SoFiA,2721.59985003409
SoFiA,2678.23944929779
SoFiA,2650.25063143543
SoFiA,2649.57523578535
SoFiA,2661.48963717536
SoFiA,2659.57109140681
SoFiA,2646.9538564184
SoFiA,2638.90398451378
SoFiA,2559.855255504
SoFiA,2642.06568040081
SoFiA,2632.31254509111
SoFiA,2635.39192713327
SoFiA,2623.47752574326
SoFiA,2505.39092815781
SoFiA,2499.71760469698
SoFiA,2497.39593214974
SoFiA,2299.88280611273
SoFiA,2464.24666939837
SoFiA,2437.09576426443
SoFiA,2451.14399378647
SoFiA,2430.74704515349
SoFiA,2447.87465671772
SoFiA,2428.23541757969
SoFiA,2428.23541757969
SoFiA,2428.72085820318
SoFiA,2416.23870234481
SoFiA,2404.6493351114
SoFiA,2415.13274196779
SoFiA,2413.32183738095
SoFiA,2407.32347976353
SoFiA,2283.75351374381
SoFiA,2186.49654012965
SoFiA,2149.83733060918
SoFiA,2240.7455851124
SoFiA,2073.19258799147
SoFiA,2221.58967598649
SoFiA,2209.35235105128
SoFiA,2222.99534318326
SoFiA,2226.64247969378
SoFiA,2189.41551570495
SoFiA,2208.59675216774
SoFiA,2198.51858270141
SoFiA,2207.78627738762
SoFiA,2087.78113403358
SoFiA,2102.8825586475
SoFiA,1803.92500596571
SoFiA,1972.15339873675
SoFiA,1893.53734506532
SoFiA,1881.92053988361
SoFiA,1906.1545800537
SoFiA,1875.599258721
SoFiA,1867.57471415327
SoFiA,1877.62544567127
SoFiA,1868.54770601169
SoFiA,1762.5654648428
SoFiA,1563.07891714066
SoFiA,1631.18623661886
SoFiA,1643.04576211229
SoFiA,1477.49362460475
SoFiA,1595.20242274846
SoFiA,1538.65703255539
SoFiA,1558.86613677315
SoFiA,1537.95419895699
SoFiA,1450.93791188746
SoFiA,1537.11839684001
SoFiA,1320.99178880854
SoFiA,1338.25447950278
SoFiA,1324.25901526588
SoFiA,1337.22661174778
SoFiA,1329.74449431156
SoFiA,1312.75196187734
SoFiA,1187.15369829594
SoFiA,798.66612035941
SoFiA,1142.76754041604
SoFiA,1100.70305508336
SoFiA,1103.21679326856
SoFiA,936.394067694294
SoFiA,887.278029652303
SoFiA,648.675520752435
SoFiA,693.196757762338
SoFiA,666.991406538527
SoFiA,678.58077377194
SoFiA,512.055644405981
SoFiA,515.487498553027
SoFiA,631.250312979897
SoFiA,535.126737691056
SoFiA,516.108018306561
SoFiA,350.528442850735
SoFiA,330.023853036038
SoFiA,465.723502809245
SoFiA,264.483037028219
SoFiA,398.886771397778
SoFiA,379.462814623256
SoFiA,390.404224154846
SoFiA,264.88827441828
SoFiA,445.138709761084
SoFiA,387.917923917899
SoFiA,387.917923917899
SoFiA,250.759841662778
SoFiA,367.898774726727
SoFiA,270.453956697386
SoFiA,89.3930465744592
SoFiA,61.3240254786727
SoFiA,79.4795047978696
SoFiA,69.7538074364639
SoFiA,72.8859547637638
SoFiA,68.8884567597624
SoFiA,37.9004600886783
SoFiA,0.7536993332767
SoFiA,40.5218394556345
SoFiA,49.4096240886282
SoFiA,-44.4429333267065
SoFiA,-102.932196625217
SoFiA,-232.715802625836
SoFiA,-279.183023352648
SoFiA,-322.355579673762
SoFiA,-446.708582525252
SoFiA,-533.889497284521
SoFiA,-544.938547997864
SoFiA,-558.068661558059
SoFiA,-835.223598410134
