name,ra,dec,GAL_LONG,GAL_LAT,flux,fluxerr,velcenter,velerr,w50max,velerr,w20max,velerr,DLG,MHI,a,ra_dec,dec_d
J1924+2033,19:24:31,20:33:45,54.9,2.3,0.7,0.2,9831,8,137.0,15,164.0,23,143.3,9.5,a,291.12916666666666,20.5625
J1922+1956,19:22:30,19:56:42,54.1,2.4,0.8,0.3,7967,5,102.0,10,115.0,15,116.0,9.4,a,290.625,19.945
J1924+2105,19:24:03,21:05:20,55.3,2.7,0.8,0.3,3104,7,79.0,14,98.0,21,47.9,8.6,a,291.01250000000005,21.08888888888889
J1907+2045,19:07:54,20:45:32,53.3,5.8,1.1,0.3,3989,6,149.0,13,175.0,19,57.4,8.9,a,286.975,20.75888888888889
J1910+2349,19:10:18,23:49:11,56.3,6.7,1.1,0.4,7324,10,194.0,20,233.0,31,103.6,9.4,a,287.575,23.81972222222222
J1922+2434,19:22:17,24:34:54,58.2,4.7,1.4,0.3,7178,7,220.0,15,265.0,22,102.3,9.5,a,290.5708333333333,24.581666666666667
J1923+2335,19:23:48,23:35:08,57.5,3.9,1.6,0.3,7912,4,80.0,8,106.0,12,110.4,9.7,a,290.95000000000005,23.585555555555555
J1917+2354,19:17:60,23:54:48,57.2,5.2,1.7,0.4,8110,6,156.0,11,186.0,17,117.0,9.8,a,289.5,23.913333333333334
J1906+2327,19:06:56,23:27:43,55.6,7.3,1.8,0.4,9146,6,278.0,13,317.0,19,128.7,9.9,a,286.73333333333335,23.461944444444445
J1915+2009,19:15:01,20:09:35,53.5,4.1,11.4,1.2,4713,4,522.0,8,545.0,12,67.6,10.1,a,288.75416666666666,20.15972222222222
J1917+2030,19:17:33,20:30:19,54.1,3.7,2.1,0.5,2356,6,97.0,13,140.0,19,36.0,8.8,a,289.38750000000005,20.505277777777778
J1925+2159,19:25:22,21:59:58,56.3,2.8,2.1,0.4,9942,8,182.0,16,244.0,23,143.1,10.0,a,291.3416666666667,21.999444444444446
J1915+2254,19:15:21,22:54:50,56.0,5.3,2.6,0.5,7902,7,400.0,14,442.0,21,111.7,9.9,a,288.8375,22.913888888888888
J1923+2017,19:23:37,20:17:27,54.6,2.4,2.7,0.7,3240,8,247.0,16,270.0,24,49.1,9.2,a,290.90416666666664,20.29083333333333
J1911+2112,19:11:28,21:12:22,54.1,5.3,3.3,0.5,5024,4,397.0,8,410.0,12,70.3,9.6,a,287.86666666666673,21.20611111111111
J1910+1933,19:10:19,19:33:03,52.5,4.8,5.7,0.6,3901,6,454.0,11,490.0,17,56.0,9.6,a,287.5791666666667,19.550833333333333
J1911+2421,19:11:37,24:21:08,56.9,6.7,8.9,1.1,642,2,116.0,4,126.0,7,10.5,8.4,a,287.90416666666664,24.352222222222224
