name,ra,dec,GAL_LONG,GAL_LAT,flux,fluxerr,velcenter,velerr,w50max,velerr,w20max,velerr,DLG,MHI,a,ra_dec,dec_d
J1900+2846,19:00:50,28:46:42,59.9,10.8,3.0,0.5,4378,6,232.0,12,267.0,18,62.7,9.4,a,285.20833333333337,28.778333333333336
J1901+2456,19:01:37,24:56:42,56.4,9.0,3.0,0.5,9300,4,339.0,8,354.0,12,133.3,10.1,a,285.4041666666667,24.945
J1851+2629,18:51:55,26:29:02,56.9,11.6,4.0,0.6,3731,7,394.0,14,433.0,21,54.1,9.4,a,282.9791666666667,26.483888888888888
J1854+2629,18:54:06,26:29:30,57.1,11.2,0.7,0.3,3952,4,114.0,7,120.0,11,56.9,8.7,a,283.525,26.491666666666667
J1901+2647,19:01:40,26:47:45,58.1,9.8,1.1,0.3,4166,4,158.0,7,163.0,11,55.5,8.9,a,285.4166666666667,26.795833333333334
J1901+2747,19:01:13,27:47:24,59.0,10.3,1.3,0.3,3811,5,81.0,9,104.0,14,52.7,8.9,a,285.3041666666667,27.79
J1900+2847,19:00:31,28:47:23,59.8,10.9,1.3*,1.0,1931,10,130.0,20,137.0,30,27.7,8.4,a,285.12916666666666,28.789722222222224
J1857+2559,18:57:53,25:59:34,57.0,10.2,1.6,0.3,4330,4,81.0,8,110.0,12,60.5,9.1,a,284.4708333333333,25.99277777777778
J1901+2820,19:01:52,28:20:01,59.5,10.4,1.7,0.4,3921,4,133.0,8,146.0,11,55.7,9.1,a,285.4666666666667,28.33361111111111
J1903+2421,19:03:48,24:21:15,56.1,8.3,1.7,0.3,4436,4,267.0,8,281.0,12,64.2,9.2,a,285.95,24.354166666666668
J1854+2439,18:54:21,24:39:28,55.4,10.4,11.1,1.3,4317,3,313.0,7,333.0,10,63.9,10.0,a,283.58750000000003,24.657777777777778
J1907+2900\footnotemark[2],19:07:05,29:00:28,60.7,9.7,13.0*,2.9,3908,10,406.0,19,439.0,29,59.3,10.0,a,286.77083333333337,29.007777777777783
J1856+2513,18:56:41,25:13:58,56.2,10.1,2.2,0.4,4400,5,244.0,10,260.0,15,64.0,9.3,a,284.17083333333335,25.232777777777777
J1905+2842,19:05:25,28:42:32,60.2,9.9,2.3,0.4,7150,3,161.0,6,173.0,10,104.1,9.8,a,286.3541666666667,28.70888888888889
J1851+2633,18:51:42,26:33:28,56.9,11.7,2.7,0.4,4544,4,288.0,8,306.0,12,66.0,9.4,a,282.925,26.55777777777778
J1905+2700,19:05:15,27:00:35,58.7,9.2,3.4,0.6,4737,5,198.0,10,217.0,15,64.1,9.5,a,286.31249999999994,27.009722222222223
J1903+2736,19:03:35,27:36:32,59.1,9.8,5.6,0.8,4225,6,372.0,12,409.0,18,57.9,9.6,a,285.89583333333337,27.608888888888888
J1902+2718,19:02:43,27:18:24,58.7,9.8,7.8,1.0,4211,2,197.0,4,205.0,6,56.8,9.8,a,285.6791666666667,27.306666666666665
J1909+2649,19:09:28,26:49:12,58.9,8.2,8.1,1.0,4731,3,274.0,7,292.0,10,66.5,9.9,a,287.3666666666666,26.82
