name_1,ra_1,dec_1,GAL_LONG,GAL_LAT,flux,fluxerr,velcenter,velerr_1,w50max,velerr_1a,w20max,velerr_1b,DLG,MHI,a,ra_dec,dec_d,id,id_old,x_geo,y_geo,z_geo,x,y,z,x_min,x_max,y_min,y_max,z_min,z_max,n_pix,n_chan,n_los,rel,bf_a,bf_b1,bf_b2,bf_c,bf_chi2,bf_f_int,bf_f_peak,bf_flag,bf_w,bf_w20,bf_w50,bf_xe,bf_xp,bf_z,ell3s_maj,ell3s_min,ell3s_pa,ell_maj,ell_min,ell_pa,f_int,f_peak,f_wm50,flag,kin_pa,rms,snr_int,w20,w50,wm50,ra_2,dec_2,freq,name_2,Separation,run,cube,kernel,scaleX,scaleY,scaleZ,sf_threshold,rms_mode,flux_range,xradius,xmin,xmax,yradius,ymin,ymax,zradius,zmin,zmax,rel_threshold,elipse,busy_function,bf+e
J1839+2343,18:39:48,23:43:08,53.2,13,2.2,0.5,4763,7,170,13,212,20,69,9.4,a,279.95,23.7188888888889,32,1056,183.577,252.309,1622.103,183.562,252.522,1622.969,182,185,250,255,1612,1629,97,18,16,0.471705,0.06365864,0.02402323,0.01147342,0,71.54307,1.226404,0.08606046,4,-0.06905052,18.89035,14.59677,806.012,1612.069,0,2.79671,0.9795444,-3.793803,2.113014,1.260753,2.737141,1.087005,0.02700516,0,0,315.648,0.0061122,18.05723,13.2228,7.898605,0,279.9473,23.703932,1397242880,SoFiA J183947.35+234214.2,54.5780508163185,17,1845+22,Gaussian,1.0,1.0,1.0,6.0,GFNF,All,1,1,-1,1,1,-1,1,1,-1,0.47,0,1,1
J1845+2124,18:45:05,21:24:49,51.5,10.9,2,0.4,4457,4,178,7,194,11,63.4,9.3,a,281.270833333333,21.4136111111111,22,6780,110.979,115.028,1703.56,110.962,115.09,1704.687,109,113,113,118,1680,1717,423,38,26,0.734334,,,,,,,,,,,,,,,3.350656,2.290328,13.715,2.755831,1.894662,-2.899191,4.162891,0.02757337,0,0,331.5163,0.0047831,42.36693,20.56448,12.09181,0,281.2686,21.418158,1398880640,SoFiA J184504.46+212505.4,18.0182102962339,22,1845+22,Gaussian,1.0,1.0,1.0,4.5,GFNF,All,1,1,-1,1,1,-1,1,1,-1,0.70,0,0,0
J1851+1954,18:51:40,19:54:14,50.8,8.9,1.6,0.3,3988,8,117,15,170,23,55.1,9.1,a,282.916666666667,19.9038888888889,25,7215,18.149,24.921,1802.673,18.102,24.818,1804.065,17,19,23,26,1788,1812,101,25,10,0.773937,,,,,,,,,,,,,,,1.975349,1.576256,-2.905609,1.610056,1.232527,-19.42808,1.102551,0.02571287,0.09289544,0,162.9552,0.0052135,21.04303,19.94615,3.066294,10.07669,282.91464,19.90474,1400872450,SoFiA J185139.51+195417.1,7.50518593671264,22,1845+22,Gaussian,1.0,1.0,1.0,4.5,GFNF,All,1,1,-1,1,1,-1,1,1,-1,0.70,0,0,0
J1846+2302,18:46:33,23:02:49,53.2,11.3,2.1,0.4,4243,5,195,10,216,15,60.9,9.3,a,281.6375,23.0469444444444,89,2525,89.654,213.154,1728.115,89.543,213.194,1727.788,89,90,212,214,1724,1732,26,9,6,0.580319,,,,,,,,,,,,,,,1.663341,1.043702,-3.240776,1.465752,1.011366,7.382393,0.2735482,0.02210961,0,0,241.2553,0.0045638,11.75487,6.77056,1.704831,0,281.65677,23.052809,1399343740,SoFiA J184637.62+230310.1,67.2303736468408,24,1845+22,Gaussian,1.0,1.0,1.0,5.2,GFNF,All,1,1,-1,1,1,-1,1,1,-1,0.54,0,0,0
J1840+2129,18:40:10,21:29:30,51.1,12,3,0.4,4227,3,249,7,261,10,63.1,9.5,a,280.041666666667,21.4916666666667,81,1848,178.908,119.038,1761.136,179.042,119.417,1761.312,167,186,112,124,1748,1774,1859,27,151,0.684715,0.008996893,0.03152742,0.2859844,0,176.1589,7.740505,0.4310829,6,-0.2035797,26.32583,18.11295,873.0158,1746.06,0,4.649291,4.309924,3.470045,5.347292,4.838218,-87.89649,8.079546,0.02133442,0.5435181,0,228.7804,0.0046518,40.28362,23.67424,18.06037,18.41757,280.0491,21.485903,1400015490,SoFiA J184011.78+212909.2,32.4195974392677,28,1845+22,Gaussian,3.0,3.0,3.0,3.0,GFFH,Negative,1,3,-1,1,3,-1,1,2,-1,0.50,0,1,1
J1840+2340b,18:40:46,23:40:52,53.2,12.8,6,0.6,4804,4,467,9,497,13,69.4,9.8,a,280.191666666667,23.6811111111111,67,1655,169.749,252.937,1649.759,169.8,252.526,1651.222,159,176,247,259,1613,1672,2239,60,139,0.770878,0.04199712,0.009829026,0.0008423666,0,509.0411,10.63984,0.2696001,4,-0.02797331,56.92762,39.47274,807.0049,1614.028,0,8.301198,4.98501,72.89184,6.075008,4.492679,73.36224,11.10932,0.0249083,0.4116941,0,231.3625,0.0045623,51.4721,43.97554,31.38779,37.97663,280.1978,23.705755,1397809150,SoFiA J184047.48+234220.7,91.004553755831,28,1845+22,Gaussian,3.0,3.0,3.0,3.0,GFFH,Negative,1,3,-1,1,3,-1,1,2,-1,0.50,0,1,1
J1844+2515,18:44:14,25:15:26,55,12.7,1.7,0.4,4637,6,203,13,226,19,62,9.2,a,281.058333333333,25.2572222222222,248,623,122.779,75.494,1644.312,122.836,75.578,1643.924,121,124,74,77,1637,1655,77,19,11,0.227197,0.04192551,0.02233478,0.002961972,0,38.01733,0.8527024,0.0929348,3,-0.1375036,12.96239,8.363977,817.0112,1634.138,0,1.60366,1.436356,-64.9709,1.448796,1.274417,-70.38309,0.8329997,0.02341909,0.1102177,0,154.3009,0.0050323,18.98753,12.1628,8.277451,8.5908,281.05032,25.259418,1397662850,SoFiA J184412.07+251533.9,27.2508009754129,4,1845+26,Boxcar,3.0,3.0,3.0,4.5,GFFH,All,3,3,-1,3,3,-1,3,3,-1,0.20,0,1,1
J1840+2836,18:40:31,28:36:12,57.8,14.8,2.1,0.3,3081,5,165,9,197,14,41.5,8.9,a,280.129166666667,28.6033333333333,302,760,171.568,276.091,2002.145,171.49,276.134,2003.338,169,175,273,279,1981,2018,428,38,28,0.437427,0.2519434,0.01284057,0.09951076,0,455.3419,4.063919,0.1345,6,-0.1609942,44,43.431,990.0064,1980.046,0,3.136334,2.289208,39.83265,2.697609,1.872085,39.1672,4.241588,0.02339248,0.1271557,0,233.8408,0.0050649,40.47984,36.26951,7.608999,36.24769,280.12064,28.598417,1404866050,SoFiA J184028.95+283554.3,32.2523859124035,4,1845+26,Boxcar,3.0,3.0,3.0,4.5,GFFH,All,3,3,-1,3,3,-1,3,3,-1,0.20,0,1,1
J1842+2453,18:42:15,24:53:41,54.5,13,2.2,0.4,3364,4,164,9,188,13,44.6,9,a,280.5625,24.8947222222222,281,710,149.374,53.749,1934.646,149.428,53.816,1933.616,148,151,51,56,1920,1956,398,37,20,0.395457,0.0007227434,0.1790415,0.2858578,0,404.3882,4.051972,0.172453,6,-0.1275737,34.28619,23.09626,956.5895,1913.046,0,2.928141,2.058914,-2.349627,2.299004,1.722025,-2.990421,4.350637,0.02685336,0.1201455,0,173.6924,0.0042811,51.06864,29.43926,22.91241,29.20149,280.5623,24.89509,1403468800,SoFiA J184214.95+245342.3,1.49685795003247,4,1845+26,Boxcar,3.0,3.0,3.0,4.5,GFFH,All,3,3,-1,3,3,-1,3,3,-1,0.20,0,1,1
J1843+2410,18:43:18,24:10:56,53.9,12.4,2.4,0.3,4006,3,134,7,157,10,55.1,9.2,a,280.825,24.1822222222222,260,650,135.552,11.032,1795.087,135.461,11.027,1794.749,133,139,9,15,1781,1810,527,30,32,0.298472,6.332888E-05,0.05425684,0,0,218.1985,5.184732,0.2503821,6,0,30.82129,20.85655,889.0271,1778.051,0,3.785479,2.904305,-58.67132,2.777087,2.612174,-82.15942,5.27675,0.02719994,0.2329653,0,214.1431,0.0045673,50.32723,27.73842,24.27144,25.76822,280.82138,24.182568,1400685700,SoFiA J184317.13+241057.2,11.9512216269002,4,1845+26,Boxcar,3.0,3.0,3.0,4.5,GFFH,All,3,3,-1,3,3,-1,3,3,-1,0.20,0,1,1
