name,ra,dec,GAL_LONG,GAL_LAT,flux,fluxerr,velcenter,velerr,w50max,velerr,w20max,velerr,DLG,MHI,a,ra_dec,dec_d
J1913+1655,19:13:51,16:55:42,50.5,2.8,8.0,0.9,6268,8,540.0,17,618.0,25,88.5,10.2,a,288.46250000000003,16.928333333333335
J2028+1045,20:28:18,10:45:17,54.3,-15.9,9.0,1.0,4241,6,463.0,12,509.0,18,63.8,9.9,a,307.075,10.754722222222222
J2057+2554,20:57:06,25:54:19,71.1,-12.6,16.0,1.5,1523,2,260.0,4,269.0,6,25.7,9.4,a,314.2750000000001,25.905277777777776
J1814+1316,18:14:06,13:16:10,40.8,14.2,0.0,,2287,,0.0,,0.0,,0.0,0.0,a,273.52500000000003,13.269444444444444
J1822+1225,18:22:53,12:25:17,40.9,11.9,0.0,,2649,,0.0,,0.0,,0.0,0.0,a,275.72083333333336,12.421388888888888
J1837+2204,18:37:53,22:04:10,51.4,12.7,0.0,,4100,,0.0,,0.0,,0.0,0.0,a,279.4708333333333,22.069444444444443
J1939+1930,19:39:30,19:30:10,55.7,-1.3,0.0,,9916,,0.0,,0.0,,0.0,0.0,a,294.87500000000006,19.502777777777776
J2020+0747,20:20:10,07:47:43,50.5,-15.7,0.0,,4844,,0.0,,0.0,,0.0,0.0,a,305.0416666666667,7.795277777777778
J1758+0343,17:58:12,03:43:23,30.2,13.5,0*,,327,,0.0,,0.0,,0.0,0.0,a,269.54999999999995,3.723055555555556
J1850+3358,18:50:42,33:58:14,63.8,14.9,0*,,5246,,0.0,,0.0,,0.0,0.0,a,282.675,33.970555555555556
J1859+3319,18:59:01,33:19:06,63.9,13.1,0*,,4507,,0.0,,0.0,,0.0,0.0,a,284.7541666666666,33.31833333333334
J1901+0651,19:01:37,06:51:02,40.2,0.9,0*,,2937,,0.0,,0.0,,0.0,0.0,a,285.4041666666667,6.850555555555555
J1936+3748,19:36:18,37:48:14,71.4,8.2,0*,,8712,,0.0,,0.0,,0.0,0.0,a,294.075,37.80388888888889
J1957-0014,19:57:38,-00:14:18,40.9,-14.6,0*,,6794,,0.0,,0.0,,0.0,0.0,a,299.4083333333333,-0.23833333333333334
J2013+2853,20:13:44,28:53:18,67.8,-3.1,0*,,3188,,0.0,,0.0,,0.0,0.0,a,303.43333333333334,28.888333333333335
J2103+2954,21:03:30,29:54:45,75.1,-11.1,0*,,912,,0.0,,0.0,,0.0,0.0,a,315.875,29.9125
J2052+2809,20:52:48,28:09:31,72.2,-10.4,0.2,0.1,4762,6,13.0,13,36.0,19,68.0,8.3,a,313.19999999999993,28.15861111111111
J1940+1005,19:40:55,10:05:42,47.6,-6.2,0.3,0.2,2361,10,12.0,19,59.0,29,31.7,7.9,a,295.2291666666667,10.095
J2029+2047,20:29:00,20:47:50,63.0,-10.5,0.3,0.2,10133,7,31.0,13,48.0,20,144.5,9.1,a,307.25,20.79722222222222
J2038+3616,20:38:22,36:16:04,76.8,-3.0,0.3*,0.4,7663,13,48.0,27,56.0,40,105.3,8.8,a,309.59166666666664,36.26777777777778
J1956+1239,19:56:20,12:39:35,51.8,-8.2,0.4,0.2,3130,8,40.0,16,60.0,24,43.3,8.3,a,299.08333333333337,12.659722222222221
J2012+2115,20:12:06,21:15:23,61.1,-6.9,0.4,0.2,552,5,27.0,11,54.0,16,4.5,6.3,a,303.025,21.25638888888889
J2036+2051,20:36:21,20:51:55,64.0,-11.8,0.4,0.2,7130,8,28.0,15,69.0,23,104.8,9.0,a,309.0875,20.86527777777778
J2036+2459,20:36:50,24:59:52,67.5,-9.5,0.4,0.2,5331,3,50.0,6,54.0,9,80.4,8.8,a,309.20833333333326,24.997777777777777
J2043+2237,20:43:59,22:37:01,66.5,-12.2,0.4,0.2,1756,3,57.0,7,61.0,10,22.9,7.7,a,310.99583333333334,22.616944444444446
J2007+2341,20:07:49,23:41:08,62.7,-4.8,0.5,0.2,2351,5,64.0,10,92.0,14,33.5,8.2,a,301.95416666666665,23.685555555555556
J2018+2324,20:18:52,23:24:57,63.8,-7.1,0.5,0.2,11840,5,43.0,9,62.0,14,171.7,9.5,a,304.7166666666667,23.41583333333333
J1902+2232,19:02:21,22:32:35,54.3,7.8,0.6,0.2,4052,7,38.0,13,66.0,20,57.7,8.7,a,285.58750000000003,22.543055555555554
J1929+2223,19:29:09,22:23:55,57.0,2.2,0.6,0.2,11507,7,16.0,15,99.0,22,163.1,9.6,a,292.28749999999997,22.398611111111112
J1939+1406,19:39:54,14:06:11,51.0,-4.0,0.6,0.2,11013,3,84.0,7,90.0,10,155.5,9.5,a,294.97499999999997,14.103055555555557
J1952+1429,19:52:10,14:29:01,52.8,-6.4,0.6,0.2,281,5,23.0,10,52.0,15,6.4,6.7,a,298.0416666666667,14.483611111111113
J2046+2145,20:46:14,21:45:32,66.1,-13.2,0.6,0.2,568,5,80.0,9,91.0,14,7.5,6.9,a,311.5583333333334,21.75888888888889
J1841+1101,18:41:48,11:01:42,41.7,7.1,0.7,0.2,1258,4,58.0,8,70.0,12,15.8,7.6,a,280.45,11.028333333333334
J1854+2629,18:54:06,26:29:30,57.1,11.2,0.7,0.3,3952,4,114.0,7,120.0,11,56.9,8.7,a,283.525,26.491666666666667
J1914+1522,19:14:09,15:22:40,49.2,2.1,0.7,0.2,7340,6,81.0,12,108.0,18,106.7,9.3,a,288.5375,15.37777777777778
J1924+2033,19:24:31,20:33:45,54.9,2.3,0.7,0.2,9831,8,137.0,15,164.0,23,143.3,9.5,a,291.12916666666666,20.5625
J1946+2204,19:46:39,22:04:19,58.7,-1.5,0.7,0.3,4602,9,117.0,18,150.0,27,66.1,8.9,a,296.6625,22.071944444444444
J1947+1157,19:47:20,11:57:10,50.0,-6.6,0.7,0.2,4944,9,35.0,17,85.0,26,69.7,8.9,a,296.83333333333337,11.952777777777778
J2019+1527,20:19:05,15:27:23,57.1,-11.5,0.7,0.2,7630,6,92.0,12,118.0,19,110.0,9.3,a,304.77083333333337,15.456388888888888
J1820+1218,18:20:52,12:18:05,40.6,12.3,0.8,0.3,6726,5,129.0,9,141.0,14,97.1,9.3,a,275.2166666666667,12.301388888888889
J1848+2020,18:48:01,20:20:30,50.8,9.8,0.8,0.3,4908,9,123.0,18,159.0,27,68.0,8.9,a,282.0041666666667,20.341666666666665
J1922+1956,19:22:30,19:56:42,54.1,2.4,0.8,0.3,7967,5,102.0,10,115.0,15,116.0,9.4,a,290.625,19.945
J1924+2105,19:24:03,21:05:20,55.3,2.7,0.8,0.3,3104,7,79.0,14,98.0,21,47.9,8.6,a,291.01250000000005,21.08888888888889
J1928+1451,19:28:09,14:51:18,50.3,-1.2,0.8,0.3,4540,7,66.0,15,91.0,22,64.9,8.9,a,292.03749999999997,14.855000000000002
J1942+2823,19:42:24,28:23:08,63.7,2.5,0.8,0.2,4592,4,105.0,8,124.0,12,62.8,8.8,a,295.6,28.385555555555555
J1944+1237,19:44:29,12:37:33,50.3,-5.7,0.8,0.2,592,4,62.0,8,77.0,13,8.5,7.1,a,296.12083333333334,12.625833333333333
J1959+1541,19:59:08,15:41:53,54.7,-7.2,0.8,0.3,4016,5,101.0,11,116.0,16,55.0,8.8,a,299.7833333333333,15.698055555555555
J2007+1457,20:07:28,14:57:36,55.2,-9.3,0.8,0.2,6850,4,57.0,8,71.0,12,102.1,9.3,a,301.8666666666667,14.96
J2038+2407,20:38:22,24:07:14,67.0,-10.3,0.8,0.3,10338,10,30.0,21,119.0,31,150.0,9.6,a,309.59166666666664,24.120555555555555
J1808+0459,18:08:17,04:59:43,32.5,11.9,0.8*,0.5,6551,6,24.0,11,37.0,17,96.5,9.3,a,272.0708333333334,4.995277777777778
J1907+3229,19:07:42,32:29:44,63.9,11.1,0.8*,0.4,3629,16,323.0,32,348.0,48,52.0,8.7,a,286.925,32.495555555555555
J1846+2716,18:46:19,27:16:29,57.1,13.1,0.9,0.3,3413,7,76.0,14,114.0,20,50.7,8.8,a,281.57916666666665,27.274722222222223
J1928+1430,19:28:47,14:30:46,50.1,-1.5,0.9,0.3,4890,6,180.0,12,204.0,19,69.8,9.0,a,292.1958333333333,14.51277777777778
J1929+1537,19:29:01,15:37:21,51.1,-1.0,0.9,0.3,4281,5,75.0,11,91.0,16,62.9,8.9,a,292.25416666666666,15.622500000000002
J1940+1549,19:40:08,15:49:51,52.6,-3.2,0.9,0.3,10623,3,98.0,5,102.0,8,148.5,9.6,a,295.03333333333336,15.830833333333333
J1950+2058,19:50:19,20:58:25,58.2,-2.8,0.9,0.3,4461,6,148.0,11,156.0,17,59.8,8.9,a,297.57916666666665,20.97361111111111
J1959+1521,19:59:21,15:21:19,54.5,-7.5,0.9,0.4,2332,10,100.0,19,134.0,29,31.9,8.3,a,299.8375,15.355277777777777
