id,id_old,x_geo,y_geo,z_geo,x,y,z,x_min,x_max,y_min,y_max,z_min,z_max,n_pix,n_chan,n_los,rel,bf_a,bf_b1,bf_b2,bf_c,bf_chi2,bf_f_int,bf_f_peak,bf_flag,bf_w,bf_w20,bf_w50,bf_xe,bf_xp,bf_z,ell3s_maj,ell3s_min,ell3s_pa,ell_maj,ell_min,ell_pa,f_int,f_peak,f_wm50,flag,kin_pa,rms,snr_int,w20,w50,wm50,ra,dec,freq,name
1.0,5.0,130.519,136.726,44.585,130.664,136.518,44.265,128.0,133.0,134.0,140.0,42.0,48.0,106.0,7.0,27.0,0.438576,0.1155442,0.6563412,0.08179257,0.0,3.488377,0.6973233,0.1555182,4.0,-0.2392265,5.963339,4.602602,20.82817,41.23923,0.0,2.523036,2.114166,-4.526395,3.009058,2.085753,-20.57691,0.6697102,0.0141169,0.1071421,0.0,0.0,0.0049977,13.33374,5.643013,3.972083,5.401038,307.15308,26.274876,1.3656032E9,SoFiA J202836.74+261629.6
2.0,6.0,118.734,230.025,24.123,118.842,229.984,23.836,112.0,129.0,216.0,242.0,7.0,36.0,1689.0,30.0,182.0,0.650756,0.1840572,0.02272014,Infinity,0.0,204.9834,7.335273,0.4879221,6.0,-Infinity,20.70313,13.43233,3.51136,7.087125,0.0,14.86485,3.883933,-36.23433,12.82208,4.572716,-34.50444,8.050199,0.022135,0.3681281,0.0,322.3953,0.0056411,34.72376,26.68448,15.32303,23.89234,307.37106,27.83316,1.36519373E9,SoFiA J202929.05+274959.4
3.0,7.0,214.176,99.458,34.262,214.156,99.241,34.77,210.0,218.0,95.0,104.0,26.0,41.0,561.0,16.0,71.0,0.528405,0.04083788,0.03006709,0.003251843,0.0,49.77756,2.136377,0.2361258,3.0,-0.1301858,13.18001,8.651537,12.51503,25.13019,0.0,4.777612,2.996216,58.43278,4.563492,3.392304,54.17017,2.162526,0.01693154,0.1777511,0.0,53.1301,0.0051517,17.72273,12.79285,9.009985,11.66476,305.61105,25.641508,1.36541286E9,SoFiA J202226.66+253829.4
4.0,12.0,49.917,242.926,74.244,49.55,243.083,74.365,44.0,55.0,239.0,246.0,69.0,78.0,336.0,10.0,71.0,0.515773,0.04123953,0.02211015,0.007108223,0.0,27.69558,1.235858,0.2416337,3.0,-0.2388245,7.336744,4.806185,34.51106,69.23882,0.0,7.15553,3.078456,-79.04391,6.27809,3.120802,-80.45513,1.219058,0.02075213,0.1546839,0.0,108.6746,0.0047589,13.97501,7.023685,4.196605,6.808771,308.6794,28.046837,1.36620646E9,SoFiA J203443.06+280248.6
5.0,14.0,103.057,234.381,25.118,103.258,234.215,24.983,98.0,109.0,229.0,239.0,18.0,35.0,636.0,18.0,85.0,0.499747,7.04233E-7,0.002416958,0.00648354,0.0,63.71478,2.682341,0.3493224,4.0,-0.155237,11.05738,7.291831,7.501208,15.15524,0.0,8.135926,2.910949,-45.22037,7.169469,3.3788,-52.76285,2.789951,0.01714366,0.2683561,0.0,315.0786,0.0052597,21.03347,10.60768,6.933954,9.367877,307.66486,27.903652,1.36521664E9,SoFiA J203039.57+275413.1
6.0,19.0,186.811,133.156,26.897,186.654,133.081,27.231,183.0,192.0,130.0,136.0,13.0,32.0,243.0,20.0,48.0,0.488308,0.108562,0.02086832,0.02084663,0.0,38.24885,1.22463,0.1087487,4.0,-0.120782,22.0,9.773654,7.510434,15.12078,0.0,6.992722,2.779915,68.55248,6.668357,2.357325,66.87213,1.096027,0.0193213,0.05111322,0.0,180.0,0.0051148,13.89013,6.425992,3.73008,17.57259,306.11304,26.21131,1.36526182E9,SoFiA J202427.13+261240.7
7.0,27.0,144.327,220.462,28.904,144.279,220.415,28.869,143.0,145.0,218.0,221.0,20.0,38.0,52.0,19.0,9.0,0.483602,0.00201887,0.01586042,0.00816572,0.0,39.86237,0.2322807,0.0243753,3.0,-0.1243021,13.72702,9.079541,9.00793,18.1243,0.0,1.230085,0.8754869,-43.46676,1.833344,1.170471,-38.29724,0.2794738,0.01986534,0.0232379,0.0,153.4349,0.0057167,6.779476,7.22337,1.193638,12.3492,306.89252,27.672417,1.36529459E9,SoFiA J202734.21+274020.7
8.0,38.0,217.679,98.982,57.435,218.006,98.564,56.796,212.0,222.0,94.0,103.0,49.0,70.0,499.0,22.0,69.0,0.493097,0.007638973,0.04744455,0.007969957,0.0,52.00063,1.799026,0.249905,4.0,-0.1706092,10.33893,6.786069,22.52372,45.17061,0.0,5.433471,2.006426,41.69681,4.799168,3.38792,38.55875,1.857487,0.01843661,0.1889033,0.0,,0.004907,17.01388,9.361825,6.003358,8.827177,305.54004,25.629269,1.36585434E9,SoFiA J202209.61+253745.4
9.0,39.0,216.944,101.528,80.0,217.026,102.026,81.391,216.0,218.0,100.0,104.0,76.0,85.0,36.0,10.0,11.0,0.432423,0.01045101,0.01045188,0.0,0.0,42.44442,0.1242126,0.04029969,3.0,-3.396394E-12,3.864817,1.77389,37.50523,75.0,0.0,3.789898,1.029326,-10.40948,2.680704,1.212243,-14.93458,0.189347,0.01523494,0.02286714,0.0,21.44449,0.0040224,7.845477,7.209431,6.655231,7.267031,305.55725,25.687218,1.36634726E9,SoFiA J202213.74+254114.0
10.0,40.0,219.418,94.684,115.096,219.394,94.401,115.188,217.0,222.0,92.0,97.0,111.0,119.0,177.0,9.0,31.0,0.421871,0.01056434,0.02072588,0.009386508,0.0,20.63429,0.9206464,0.2529728,3.0,-0.3240426,5.334258,3.459662,55.51036,111.324,0.0,3.060244,2.697085,38.68357,3.057849,2.660184,-58.12495,0.984341,0.02052819,0.1324645,0.0,69.53664,0.0053391,13.85782,6.718996,3.87682,6.242303,305.51553,25.559534,1.36702464E9,SoFiA J202203.73+253334.3
11.0,41.0,104.395,233.521,70.092,104.189,233.37,70.119,101.0,108.0,231.0,236.0,67.0,73.0,119.0,7.0,34.0,0.465243,0.07960005,0.03290135,0.07502083,0.0,2.413107,0.4551105,0.1856961,4.0,-0.5676673,3.446298,2.170489,33.51645,67.56767,0.0,3.844104,0.8350669,55.69435,4.404048,2.233333,-76.45867,0.4587427,0.01349488,0.08714827,0.0,0.0,0.0049432,8.507197,3.778708,2.19639,3.473171,307.64728,27.889584,1.36612134E9,SoFiA J203035.35+275322.5
12.0,44.0,100.245,233.388,55.511,100.324,233.378,55.336,97.0,103.0,231.0,236.0,52.0,59.0,139.0,8.0,31.0,0.437188,0.06146533,0.03964758,0.00933139,0.0,6.688471,0.7721377,0.2045851,3.0,-0.3265135,5.485975,3.482625,25.51982,51.32651,0.0,2.36988,1.072916,33.26713,2.986299,2.031758,41.14053,0.7977491,0.014048,0.1185613,0.0,0.0,0.0050448,13.41268,6.145748,4.383067,5.417596,307.72018,27.889637,1.36582502E9,SoFiA J203052.84+275322.7
13.0,46.0,110.235,40.353,75.02,110.247,40.633,74.434,109.0,112.0,39.0,42.0,68.0,79.0,51.0,12.0,13.0,0.493829,0.04861572,0.0120083,0.05776571,0.0,12.81939,0.1683782,0.03187284,4.0,-0.3011085,9.534727,4.024994,34.506,69.30111,0.0,3.631847,0.0,-24.90477,2.299724,1.557316,-25.50101,0.1703075,0.01136003,0.01473457,0.0,0.0,0.0041424,5.814295,10.39721,2.461988,10.48308,307.53214,24.67695,1.36620774E9,SoFiA J203007.72+244037.0
14.0,47.0,218.362,71.35,83.374,218.087,71.977,83.937,215.0,222.0,66.0,78.0,78.0,90.0,337.0,13.0,63.0,0.438297,5.53282E-5,0.08665259,0.01053075,0.0,49.34036,1.919277,0.23639,4.0,-0.1346426,11.64326,8.105708,38.04333,76.13464,0.0,7.429375,2.466198,27.88166,6.483224,2.696702,25.28614,1.977246,0.02352088,0.1663117,0.0,35.75086,0.0053143,20.26735,11.5353,9.979813,10.987,305.54575,25.186108,1.36639834E9,SoFiA J202210.98+251110.0
15.0,51.0,117.678,105.089,84.111,117.604,105.307,84.051,116.0,120.0,102.0,108.0,82.0,87.0,90.0,6.0,26.0,0.443992,0.2107815,0.0878553,0.01844728,0.0,4.232254,0.5061801,0.1371918,3.0,-0.4059548,5.638689,3.251497,40.54393,81.40595,0.0,3.360262,,-86.9673,3.461167,1.875925,-30.83776,0.4417391,0.01463335,0.07161948,0.0,0.0,0.0050187,9.277979,4.385751,2.516168,4.195322,307.3963,25.755072,1.36640051E9,SoFiA J202935.11+254518.3
16.0,54.0,81.074,159.471,99.074,81.211,159.441,98.706,79.0,83.0,155.0,163.0,96.0,102.0,68.0,7.0,25.0,0.474586,0.02552438,0.01857779,0.04490271,0.0,7.501143,0.2085713,0.09846425,3.0,-0.5981182,3.201823,1.963061,48.00929,96.59812,0.0,,,,3.461318,1.77256,27.44244,0.2364083,0.01288848,0.04521279,0.0,0.0,0.0047175,6.077149,4.133507,1.525743,4.020709,308.0742,26.656214,1.36669414E9,SoFiA J203217.81+263922.4
17.0,62.0,149.826,78.304,110.71,149.643,78.052,110.669,148.0,152.0,76.0,80.0,108.0,113.0,69.0,6.0,19.0,0.418119,6.443566E-5,0.202647,0.068307,0.0,6.981934,0.4324025,0.09994797,4.0,-0.2347309,5.313094,4.523144,53.60132,107.2347,0.0,2.401887,1.547233,-7.99033,2.384133,1.77966,-12.31679,0.4312087,0.01616174,0.07439422,0.0,248.2207,0.0046778,11.09734,5.129785,4.054638,4.781182,306.80603,25.299109,1.36693402E9,SoFiA J202713.45+251756.8
