id,id_old,x_geo,y_geo,z_geo,x,y,z,x_min,x_max,y_min,y_max,z_min,z_max,n_pix,n_chan,n_los,rel,bf_a,bf_b1,bf_b2,bf_c,bf_chi2,bf_f_int,bf_f_peak,bf_flag,bf_w,bf_w20,bf_w50,bf_xe,bf_xp,bf_z,ell3s_maj,ell3s_min,ell3s_pa,ell_maj,ell_min,ell_pa,f_int,f_peak,f_wm50,flag,kin_pa,rms,snr_int,w20,w50,wm50,ra,dec,freq,name
1.0,2.0,45.217,66.561,48.986,47.276,59.078,44.747,0.0,115.0,0.0,134.0,3.0,137.0,446016.0,135.0,6035.0,0.653529,1.618957,2.459997,0.0,0.0,12427.24,1202.229,21.19483,6.0,-0.002687117,80.1265,54.9519,1.229999,0.01889272,0.0,67.39698,32.33647,70.41052,63.6125,29.14769,70.12139,1289.666,0.04411406,0.0,5.0,248.1024,0.0060194,320.8975,90.41909,72.94835,0.0,301.19016,24.979506,1.3656128E9,SoFiA J200445.63+245846.2
2.0,7.0,54.593,88.48,24.29,54.395,88.308,25.835,51.0,58.0,86.0,91.0,9.0,48.0,496.0,40.0,35.0,0.642113,0.672283,0.1607441,0.007634101,0.0,285.6747,2.473687,0.1680707,4.0,-0.1172854,23.31879,19.83139,0.5803721,1.117285,0.0,3.27941,2.643806,-78.21387,2.996661,2.534461,78.75592,2.404146,0.0203812,0.06279941,0.0,108.0592,0.005128,21.07204,37.07291,35.35592,37.23363,301.06348,25.467789,1.36523379E9,SoFiA J200415.24+252804.0
3.0,8.0,43.965,213.158,19.018,43.937,213.181,19.002,42.0,46.0,210.0,216.0,17.0,21.0,57.0,5.0,17.0,0.477043,0.1587962,0.04238322,0.03274618,0.0,2.122783,0.3198689,0.1266181,3.0,-0.5886084,3.891082,2.15586,8.521192,17.58861,0.0,2.865189,0.02449242,-1.315231,3.237061,1.350594,-28.92503,0.3227673,0.01489326,0.07262264,0.0,333.4349,0.0046092,9.275259,4.0,1.800429,3.859642,301.27954,27.54745,1.36509683E9,SoFiA J200507.09+273250.8
4.0,10.0,27.992,158.142,33.232,27.947,158.282,33.538,20.0,36.0,147.0,164.0,4.0,68.0,5813.0,65.0,189.0,0.722284,0.007251585,0.2270259,0.03633168,0.0,762.4621,22.75623,0.5094503,4.0,-0.02290543,66.21048,45.1745,0.1135129,0.02290543,0.0,8.175948,5.915856,58.7984,7.454253,5.599652,62.15967,25.52765,0.03262759,0.5482075,4.0,266.3967,0.0055292,60.55485,58.62964,45.06474,51.90506,301.56732,26.629513,1.36538816E9,SoFiA J200616.16+263746.2
5.0,14.0,35.502,137.989,22.354,35.536,137.75,21.979,30.0,40.0,133.0,143.0,7.0,38.0,1329.0,32.0,78.0,0.616945,0.01180029,0.308416,0.5815697,0.0,385.9404,4.679798,0.1994939,6.0,-0.2316143,34.33784,23.90843,2.154208,4.041322,0.0,5.517333,3.367169,64.09851,5.078316,3.351808,55.07248,5.974126,0.01979188,0.1907375,0.0,74.77996,0.0048852,33.54545,28.46712,19.47906,28.06359,301.42154,26.288792,1.36515648E9,SoFiA J200541.17+261719.6
6.0,16.0,42.238,207.619,30.071,42.202,207.662,29.983,41.0,44.0,206.0,209.0,28.0,32.0,42.0,5.0,12.0,0.416259,0.1429967,0.03938106,0.2418755,0.0,6.364834,0.2808164,0.08377883,4.0,-0.3709242,4.0,3.493557,14.01969,28.37092,0.0,1.281522,0.705897,37.65134,1.783224,1.452612,37.03139,0.275656,0.01218447,0.06202261,0.0,0.0,0.0049276,8.631934,4.0,1.776101,4.0,301.31107,27.455166,1.36531686E9,SoFiA J200514.66+272718.6
7.0,20.0,17.117,137.7,24.45,17.027,137.781,24.434,16.0,18.0,136.0,139.0,20.0,29.0,60.0,10.0,9.0,0.488802,0.001700045,0.1735955,0.02781577,0.0,24.17748,0.4160479,0.0565392,4.0,-0.1278365,9.40937,8.084746,9.586798,19.12784,0.0,1.419311,1.264911,21.25051,1.605366,1.333975,-0.9652193,0.4118989,0.02088435,0.04256532,0.0,180.0,0.0046451,11.44767,8.866838,6.683007,8.68645,301.76572,26.285503,1.36520576E9,SoFiA J200703.77+261707.8
8.0,22.0,76.897,114.829,23.663,77.29,114.681,23.268,64.0,85.0,106.0,121.0,5.0,42.0,614.0,38.0,101.0,0.655663,0.3277221,0.0,0.006976158,0.0,121.5134,2.87843,0.1137738,4.0,-0.07077401,39.40324,34.56222,0.5,1.070774,0.0,8.508292,5.298103,61.97539,10.77691,6.188643,83.3815,3.349034,0.0179642,0.04510526,0.0,0.0,0.0067299,20.08304,28.6288,9.102618,34.35265,300.64316,25.909904,1.36518246E9,SoFiA J200234.36+255435.7
9.0,23.0,15.607,186.427,50.865,15.499,186.105,50.409,13.0,18.0,183.0,189.0,46.0,55.0,178.0,10.0,29.0,0.592725,8.723107E-5,0.1281015,0.02353947,0.0,27.48963,0.9787266,0.1559786,4.0,-0.1691125,8.974627,6.306917,22.56405,45.16911,0.0,3.331284,1.569663,-54.35529,3.327958,1.97923,-43.62064,1.010927,0.01763419,0.1157617,0.0,135.0,0.0051543,14.70077,8.311225,6.52861,7.577491,301.80685,27.090488,1.36572634E9,SoFiA J200713.64+270525.8
10.0,26.0,63.105,117.263,39.026,63.074,117.561,39.47,62.0,65.0,116.0,119.0,33.0,45.0,76.0,13.0,12.0,0.53241,0.02141786,0.01844316,0.007536029,0.0,16.89615,0.4124326,0.06141489,3.0,-0.1834383,9.599569,6.212147,16.00922,32.18344,0.0,2.055578,0.8832546,-7.168958,2.016671,1.40676,-12.79913,0.4281915,0.0172257,0.04651154,0.0,0.0,0.0053488,9.182805,8.989811,7.39567,8.134867,300.90695,25.956469,1.36550707E9,SoFiA J200337.67+255723.3
11.0,30.0,35.869,137.047,51.813,35.887,136.856,51.388,33.0,38.0,135.0,139.0,49.0,55.0,107.0,7.0,23.0,0.490625,0.3658809,0.04892434,0.03996685,0.0,0.705932,0.5805813,0.09147023,1.0,-0.07892399,6.0,6.0,24.02446,48.07892,0.0,1.942626,1.686852,46.26726,2.583051,2.200761,42.95069,0.4882423,0.01568133,0.07672388,0.0,0.0,0.0049136,9.838633,5.778785,5.446962,5.571418,301.41486,26.27397,1.36574592E9,SoFiA J200539.57+261626.3
12.0,38.0,207.148,282.183,94.567,208.091,282.845,94.18,196.0,215.0,276.0,289.0,88.0,102.0,1166.0,15.0,139.0,0.500241,1.115601E-4,0.1836209,0.005508267,0.0,77.40756,7.069316,0.8134933,4.0,-0.127729,12.66709,8.454444,43.09181,86.12773,0.0,10.82168,3.897554,-45.62269,10.47148,3.809377,-48.8709,7.018704,0.0334563,0.6524424,0.0,102.3001,0.0063972,32.1306,12.55983,5.929741,10.88556,298.1738,28.70334,1.36660352E9,SoFiA J195241.71+284212.0
13.0,41.0,130.843,2.569,117.879,130.771,2.687,118.236,127.0,134.0,0.0,5.0,113.0,123.0,248.0,11.0,37.0,0.498772,0.2400841,0.08079061,0.01199166,0.0,30.66316,1.79279,0.2989876,4.0,-0.2277339,11.45996,5.179531,55.5404,111.2277,0.0,3.697191,2.582342,-72.23689,3.569858,2.571472,-82.48917,1.765735,0.0200093,0.2380516,1.0,264.0275,0.0055978,20.03005,8.392257,6.041083,6.789043,299.65744,24.043697,1.3670857E9,SoFiA J195837.78+240237.3
14.0,42.0,180.09,286.51,101.807,180.252,286.605,102.541,178.0,183.0,285.0,288.0,94.0,110.0,145.0,17.0,18.0,0.614953,0.07554866,0.02189257,0.01471546,0.0,38.87015,0.8213913,0.08882878,4.0,-0.145544,17.6398,8.063137,46.01095,92.14554,0.0,2.101435,0.913499,-77.88835,2.190986,1.622029,79.86683,0.7881064,0.02664714,0.05281576,0.0,46.28745,0.0055017,11.89605,14.07826,5.12287,14.07489,298.70215,28.771679,1.36677107E9,SoFiA J195448.52+284618.0
15.0,48.0,99.914,241.31,117.09,99.359,241.632,117.222,85.0,112.0,236.0,245.0,114.0,121.0,829.0,8.0,172.0,0.602036,0.7507744,0.1538071,0.003436029,0.0,42.06737,5.248211,1.302581,3.0,-0.3192821,5.843403,3.622174,56.5769,113.3193,0.0,15.1619,3.712931,86.64184,15.96819,3.631255,85.45564,5.229718,0.02198513,0.7763927,0.0,265.5674,0.0051485,35.27916,6.244319,4.619895,5.407986,300.23868,28.027214,1.36706534E9,SoFiA J200057.28+280138.0
16.0,49.0,64.953,241.49,117.623,64.76,241.431,117.608,60.0,71.0,239.0,245.0,114.0,121.0,363.0,8.0,68.0,0.554939,0.05957479,0.1882052,0.02219972,0.0,5.49034,2.163867,0.4252091,4.0,-0.2143808,6.882592,5.104767,56.5941,113.2144,0.0,5.882381,3.090289,-88.84236,5.792786,3.189424,87.39096,2.146075,0.0178996,0.290016,0.0,319.1618,0.0051586,21.83549,6.890453,4.944033,6.217977,300.89194,28.021326,1.36707315E9,SoFiA J200334.06+280116.8
17.0,50.0,131.8,242.108,117.708,132.107,241.914,117.333,128.0,135.0,240.0,244.0,116.0,119.0,65.0,4.0,24.0,0.45416,0.1693505,0.06296736,0.0437442,0.0,1.69965E-11,0.384103,0.1711864,3.0,-0.8759238,2.0,1.664292,58.03148,116.8759,0.0,3.722829,1.078109,66.00663,4.197218,1.47869,70.92242,0.3841033,0.01732373,0.1728465,0.0,0.0,0.0059499,9.129702,2.0,1.664292,1.65785,299.62033,28.031612,1.36706765E9,SoFiA J195828.88+280153.8
18.0,51.0,50.138,178.801,39.349,50.006,178.768,38.204,42.0,60.0,167.0,196.0,6.0,91.0,15961.0,86.0,381.0,0.838698,2.360883,1.184832,0.08852262,0.0,742.7401,71.2324,1.199635,6.0,-0.1020965,84.80756,61.27992,0.5924159,0.0173017,0.0,14.08997,7.804624,24.31432,12.49742,7.18207,25.50453,70.55003,0.02334526,2.021731,4.0,185.9439,0.0056212,99.37784,76.82513,57.85037,52.97545,301.15945,26.974817,1.36548173E9,SoFiA J200438.27+265829.3
19.0,55.0,36.3,4.58,117.4,35.789,4.59,117.371,32.0,40.0,2.0,7.0,115.0,119.0,100.0,5.0,32.0,0.509768,0.2356985,0.04656013,0.01945201,0.0,0.4368579,0.7440369,0.2591008,3.0,-0.4979257,4.0,2.564925,57.52328,115.4979,0.0,4.703585,1.619224,59.08261,4.328512,1.79223,62.88647,0.752899,0.0197436,0.1694023,0.0,214.9817,0.0055213,13.63619,4.0,2.706545,3.145708,301.39127,24.068985,1.36706829E9,SoFiA J200533.91+240408.3
20.0,57.0,118.096,210.449,117.404,117.693,210.744,117.37,115.0,122.0,206.0,215.0,115.0,121.0,198.0,7.0,55.0,0.605526,0.2701893,0.1061411,0.01274323,0.0,1.546627,1.103053,0.3112846,3.0,-0.3891368,5.863022,3.144086,57.05307,114.3891,0.0,3.973666,2.982177,-46.52649,4.268084,3.207881,-10.54569,1.038626,0.01707214,0.1774024,0.0,0.0,0.0052934,14.0871,5.07832,2.891989,4.483392,299.893,27.512432,1.36706829E9,SoFiA J195934.33+273044.8
21.0,58.0,67.397,229.317,126.063,67.525,229.282,126.112,65.0,69.0,227.0,231.0,124.0,128.0,63.0,5.0,18.0,0.464254,0.04419037,0.06217695,0.07366972,0.0,0.5568076,0.416226,0.1510914,4.0,-0.3941468,3.798682,2.795338,62.03109,124.3941,0.0,1.837208,1.072257,21.74773,2.397364,1.768669,41.5581,0.4152328,0.01813292,0.0958747,0.0,0.0,0.0058769,8.901778,3.777026,2.526195,3.603852,300.83813,27.819101,1.36724352E9,SoFiA J200321.16+274908.8
22.0,62.0,174.775,242.254,117.803,174.553,242.387,117.487,172.0,178.0,241.0,244.0,116.0,120.0,71.0,5.0,21.0,0.479547,0.6579899,0.1566004,0.1238654,0.0,9.706194E-11,0.5748314,0.1644975,4.0,-0.6065924,4.0,3.808876,57.5783,115.6066,0.0,1.936532,1.743862,-37.32289,2.577355,1.919732,73.12002,0.4103336,0.02081778,0.09705631,0.0,35.70894,0.0048296,10.5383,3.72234,3.231448,3.538789,298.81876,28.03522,1.36707059E9,SoFiA J195516.50+280206.8
23.0,65.0,87.384,227.071,126.152,87.575,227.15,126.364,78.0,97.0,223.0,232.0,117.0,135.0,703.0,19.0,126.0,0.619166,0.2434035,0.03967162,0.005639335,0.0,96.87376,3.395757,0.3991845,4.0,-0.1564286,11.63664,7.469261,58.01984,116.1564,0.0,11.92062,4.016354,-89.04447,10.71188,3.819049,-86.94736,3.480104,0.02294571,0.6361649,0.0,274.919,0.0049692,26.41376,14.38342,6.936898,5.144423,300.46014,27.78524,1.36724864E9,SoFiA J200150.43+274706.9
