id,id_old,x_geo,y_geo,z_geo,x,y,z,x_min,x_max,y_min,y_max,z_min,z_max,n_pix,n_chan,n_los,rel,bf_a,bf_b1,bf_b2,bf_c,bf_chi2,bf_f_int,bf_f_peak,bf_flag,bf_w,bf_w20,bf_w50,bf_xe,bf_xp,bf_z,ell3s_maj,ell3s_min,ell3s_pa,ell_maj,ell_min,ell_pa,f_int,f_peak,f_wm50,flag,kin_pa,rms,snr_int,w20,w50,wm50,ra,dec,freq,name
1.0,3.0,194.928,92.595,42.955,194.365,95.435,40.975,176.0,214.0,64.0,113.0,4.0,140.0,35929.0,137.0,902.0,0.882377,0.4064452,0.05232172,0.0,0.0,2490.154,33.8952,1.592692,6.0,-1.187976E32,29.57313,19.35918,0.02616086,0.0600927,0.0,19.57795,16.46893,80.22014,17.7156,13.79147,84.38191,36.22915,0.02701453,0.6175121,4.0,290.3204,0.0052328,36.55727,61.57505,47.32238,98.60384,302.2786,21.08398,1.36553715E9,SoFiA J200906.86+210502.3
2.0,62.0,65.899,57.927,161.351,65.66,59.456,161.707,59.0,72.0,41.0,71.0,154.0,167.0,851.0,14.0,171.0,0.99999,0.07120194,0.02081878,0.3767374,0.0,464.7334,3.809978,0.7465281,6.0,-0.1071518,7.338706,4.803825,77.01041,154.243,0.0,11.1607,5.926836,1.049017,9.787693,5.831729,-2.286021,4.839098,0.05115091,0.510567,0.0,221.3921,0.0054547,30.41061,8.711147,7.373071,8.470988,304.57452,20.488716,1.36795686E9,SoFiA J201817.89+202919.4
3.0,135.0,104.514,189.256,109.876,104.614,189.292,110.082,96.0,109.0,184.0,194.0,82.0,127.0,426.0,46.0,59.0,0.406479,0.2045935,0.01695426,0.0,0.0,607.304,-1.16530701E9,0.05114837,6.0,0.0,1.033689,1.018247,41.00848,82.05589,0.0,5.298319,3.444959,41.40286,4.553017,2.861591,43.87322,3.319972,0.02906228,0.07103336,0.0,228.7279,0.0055165,29.1584,37.99156,5.192849,43.18326,303.8834,22.654833,1.36692224E9,SoFiA J201532.02+223917.4
4.0,140.0,215.056,2.586,120.043,215.082,2.103,119.887,210.0,221.0,0.0,9.0,114.0,129.0,162.0,16.0,48.0,0.404109,0.03960954,0.04492682,0.01395895,0.0,100.9565,1.743239,0.2743726,4.0,-0.1965796,8.975034,5.905351,55.52246,111.1966,0.0,7.786562,3.511871,84.55296,7.53637,4.61916,74.40095,1.818569,0.02905701,0.191259,1.0,88.88923,0.0058557,24.40019,9.337966,7.174576,8.435605,301.92685,19.524145,1.36711872E9,SoFiA J200742.44+193126.9
5.0,153.0,39.307,138.851,97.666,39.259,138.908,97.932,34.0,45.0,131.0,147.0,89.0,101.0,329.0,13.0,97.0,0.410633,0.1683366,0.02689119,0.0317047,0.0,177.1461,1.72595,0.2645745,4.0,-0.2047866,8.811662,5.744277,45.01345,90.20479,0.0,9.478054,3.082191,-26.85262,9.064908,3.046822,-24.95761,2.083031,0.02048219,0.2472787,0.0,137.0909,0.0050762,22.65791,7.504829,2.443838,7.308798,305.05594,21.80997,1.36667866E9,SoFiA J202013.42+214835.9
6.0,278.0,137.294,42.372,160.035,137.128,41.895,159.907,133.0,144.0,35.0,50.0,156.0,164.0,231.0,9.0,61.0,0.411558,0.226242,0.06410795,0.01439604,0.0,22.74381,2.04757,0.42358,4.0,-0.2292043,7.055119,4.709638,78.03205,156.2292,0.0,5.38736,3.714557,63.31008,4.796164,3.520467,77.35263,2.089459,0.03498126,0.3062462,0.0,257.5163,0.005688,24.16949,6.689232,4.872177,5.400673,303.30374,20.197384,1.36792077E9,SoFiA J201312.90+201150.6
7.0,306.0,144.545,188.285,120.474,144.802,188.549,120.205,141.0,149.0,185.0,192.0,114.0,131.0,253.0,18.0,46.0,0.41089,1.584378E-5,0.03673673,0.009671875,0.0,103.3599,1.579855,0.2606088,4.0,-0.2033186,8.678964,5.749239,55.01837,110.2033,0.0,3.890722,3.499716,25.1645,3.413545,3.022848,-33.40306,1.717848,0.02363916,0.1095605,0.0,155.354,0.0046689,23.17781,11.89958,5.689675,11.99396,303.15762,22.64145,1.36712512E9,SoFiA J201237.83+223829.2
8.0,326.0,101.13,179.88,159.583,101.173,182.843,159.662,92.0,110.0,147.0,193.0,139.0,169.0,1663.0,31.0,311.0,0.983056,0.02768922,0.01179646,0.003770164,0.0,120.2706,2.774521,0.2396038,4.0,-0.107399,16.30461,10.76573,70.5059,141.1074,0.0,21.17096,7.839853,-11.45514,17.31896,7.694186,-12.44193,2.778334,0.04144005,0.1799211,0.0,152.8562,0.0054529,12.49799,15.58559,11.90162,15.3626,303.94537,22.547277,1.3679159E9,SoFiA J201546.89+223250.2
9.0,453.0,41.088,276.843,160.057,40.122,277.609,160.172,38.0,45.0,272.0,282.0,148.0,169.0,159.0,22.0,42.0,0.45999,0.02441769,0.01510373,0.004248734,0.0,351.6241,0.6007684,0.0583841,3.0,-0.1217755,14.47645,9.398425,74.00755,148.1218,0.0,5.069583,2.021864,26.02625,4.311993,1.908108,29.79,0.5632893,0.02513877,0.04041747,0.0,9.389415,0.0054103,8.256776,9.955097,8.402308,12.19366,305.06268,24.122232,1.36792614E9,SoFiA J202015.05+240720.0
10.0,488.0,10.506,255.565,161.922,10.641,255.619,161.625,5.0,14.0,251.0,257.0,157.0,166.0,154.0,10.0,31.0,0.406745,0.01084882,0.0749188,1.541014,0.0,43.74488,1.747454,0.2677316,6.0,-0.5853388,8.785826,6.739039,78.03746,156.1595,0.0,3.680723,1.733813,-76.6504,3.945745,1.846109,-70.74358,1.824926,0.02860325,0.2007173,0.0,281.2756,0.0061504,23.91015,8.668222,7.201841,8.015095,305.59595,23.750477,1.36795533E9,SoFiA J202223.03+234501.7
