name_1,ra_1,dec_1,GAL_LONG,GAL_LAT,flux,fluxerr,velcenter,velerr_1,w50max,velerr_1a,w20max,velerr_1b,DLG,MHI,a,ra_dec,dec_d,id,id_old,x_geo,y_geo,z_geo,x,y,z,x_min,x_max,y_min,y_max,z_min,z_max,n_pix,n_chan,n_los,rel,bf_a,bf_b1,bf_b2,bf_c,bf_chi2,bf_f_int,bf_f_peak,bf_flag,bf_w,bf_w20,bf_w50,bf_xe,bf_xp,bf_z,ell3s_maj,ell3s_min,ell3s_pa,ell_maj,ell_min,ell_pa,f_int,f_peak,f_wm50,flag,kin_pa,rms,snr_int,w20,w50,wm50,ra_2,dec_2,freq,name_2,Separation
J1922+1956,19:22:30,19:56:42,54.1,2.4,0.8,0.3,7967,5,102.0,10,115.0,15,116.0,9.4,a,290.625,19.945,225.0,408.0,7.08,27.08,937.68,6.982,26.959,937.432,6.0,8.0,26.0,28.0,936.0,939.0,25.0,4.0,9.0,0.57097,0.06966176,0.02592736,0.04824985,0.0,4.019503E-14,0.190665,0.09968783,3.0,-0.8195041,1.955079,1.422429,468.013,936.8195,0.0,1.640888,0.1592302,-89.45003,1.59932,1.457607,-79.8619,0.1906651,0.01685618,0.08579929,0.0,0.0,0.0045834,9.301924,1.955079,1.422429,1.546111,290.61224,19.938301,1.38350374E9,SoFiA J192226.93+195617.9,49.4596782402871
J1917+2354,19:17:60,23:54:48,57.2,5.2,1.7,0.4,8110,6,156.0,11,186.0,17,117.0,9.8,a,289.5,23.913333333333334,218.0,401.0,71.087,265.222,895.468,70.991,265.232,895.238,69.0,74.0,263.0,267.0,892.0,900.0,126.0,9.0,24.0,0.61121,0.1056626,0.3092717,1.869348,0.0,17.44116,1.065364,0.1668035,6.0,-0.5850897,7.893412,7.056115,445.6546,891.1401,0.0,2.900988,2.068608,-61.56317,2.569663,1.929241,-64.20743,1.032826,0.026548,0.126642,0.0,249.1,0.0044234,20.88399,7.506476,6.5831,7.190636,289.4977,23.919285,1.38265805E9,SoFiA J191759.45+235509.4,22.72364978974204
J1915+2009,19:15:01,20:09:35,53.5,4.1,11.4,1.2,4713,4,522.0,8,545.0,12,67.6,10.1,a,288.75416666666666,20.15972222222222,336.0,556.0,111.547,40.072,1625.592,111.498,40.009,1625.7,109.0,114.0,38.0,43.0,1618.0,1634.0,265.0,17.0,26.0,0.663861,2.690588E-6,0.006063999,0.003903449,0.0,49.42047,2.315951,0.2108641,4.0,-0.09654663,15.93684,11.05257,808.003,1616.097,0.0,2.764236,2.450472,-1.670246,2.510942,2.204156,-23.66031,2.359385,0.02053561,0.1751233,0.0,170.758,0.0045696,31.71763,14.6296,11.78794,13.06507,288.7589,20.16655,1.39729766E9,SoFiA J191502.14+200959.6,29.32642032164558
J1917+2030,19:17:33,20:30:19,54.1,3.7,2.1,0.5,2356,6,97.0,13,140.0,19,36.0,8.8,a,289.38750000000005,20.505277777777778,511.0,787.0,76.058,59.981,2159.604,76.154,60.191,2159.59,74.0,78.0,57.0,63.0,2155.0,2164.0,154.0,10.0,23.0,0.55936,0.1247056,0.08344197,0.01218843,0.0,9.361637,1.695572,0.2541393,4.0,-0.1657683,9.162735,6.679856,1077.042,2154.166,0.0,3.082203,2.088236,0.3251119,2.62087,1.92879,3.932003,1.676046,0.02153881,0.1805302,0.0,338.4093,0.0047299,28.55434,8.968444,6.629282,8.161523,289.38785,20.5018,1.4079977E9,SoFiA J191733.08+203006.5,12.57550094935657
J1911+2112,19:11:28,21:12:22,54.1,5.3,3.3,0.5,5024,4,397.0,8,410.0,12,70.3,9.6,a,287.86666666666673,21.20611111111111,321.0,535.0,162.04,102.592,1548.84,161.776,102.869,1548.367,159.0,165.0,99.0,106.0,1541.0,1555.0,480.0,15.0,48.0,0.698909,0.3999731,0.3405369,1.168492,0.0,51.48733,2.899613,0.2475793,6.0,-0.3928944,16.0,13.58145,770.1703,1540.122,0.0,3.820142,2.521792,-4.257649,3.388434,2.675401,-12.25203,2.775956,0.01998365,0.1946471,0.0,348.2385,0.0044676,28.36102,14.53289,12.57989,13.78594,287.86008,21.212063,1.39574784E9,SoFiA J191126.42+211243.4,30.786013854591403
J1910+1933,19:10:19,19:33:03,52.5,4.8,5.7,0.6,3901,6,454.0,11,490.0,17,56.0,9.6,a,287.5791666666667,19.550833333333333,372.0,601.0,177.31,3.833,1826.769,177.603,3.611,1825.624,168.0,184.0,0.0,10.0,1769.0,1874.0,4466.0,106.0,127.0,0.504634,0.4801495,0.1669261,0.05911812,0.0,1307.468,25.23498,0.3539155,6.0,-0.04805928,110.8177,64.18698,881.5835,1763.02,0.0,7.147571,3.997708,59.21417,4.925139,3.298972,59.9425,27.77806,0.03189907,0.0,1.0,224.1243,0.0047239,87.99232,101.8039,74.61128,0.0,287.5896,19.555384,1.40130445E9,SoFiA J191021.51+193319.4,39.00149590706921
