id,id_old,x_geo,y_geo,z_geo,x,y,z,x_min,x_max,y_min,y_max,z_min,z_max,n_pix,n_chan,n_los,rel,bf_a,bf_b1,bf_b2,bf_c,bf_chi2,bf_f_int,bf_f_peak,bf_flag,bf_w,bf_w20,bf_w50,bf_xe,bf_xp,bf_z,ell3s_maj,ell3s_min,ell3s_pa,ell_maj,ell_min,ell_pa,f_int,f_peak,f_wm50,flag,kin_pa,rms,snr_int,w20,w50,wm50,ra,dec,freq,name
1.0,6.0,49.437,169.201,39.844,50.021,168.912,38.525,1.0,94.0,142.0,197.0,6.0,102.0,96003.0,97.0,2076.0,0.950087,7.097716,4.253712,0.04955902,0.0,2961.429,687.2938,12.28467,6.0,-0.1343517,80.34089,54.96469,2.126856,0.01826989,0.0,58.43132,17.46717,73.93944,55.05777,14.91569,73.56421,681.0453,0.03302993,0.0,4.0,77.24604,0.0065486,336.0136,81.71443,47.56817,0.0,282.36664,22.31145,1.36548813E9,SoFiA J184927.99+221841.2
2.0,10.0,114.282,250.12,40.293,110.549,246.668,36.109,65.0,153.0,215.0,277.0,5.0,130.0,94589.0,126.0,2033.0,0.993941,0.0107437,0.2040144,0.0,0.0,21714.42,413.5953,10.75037,6.0,-3.150737E38,54.71574,36.9188,0.1020072,0.02947591,0.0,42.57643,21.96722,-80.14317,38.98738,19.33738,-76.99713,402.6035,0.05463716,5.78816,4.0,97.85186,0.0056295,233.2187,61.42957,48.43545,60.3058,281.2764,23.61138,1.36543974E9,SoFiA J184506.33+233641.0
3.0,15.0,39.282,46.459,36.148,38.227,46.313,35.256,0.0,98.0,7.0,90.0,6.0,95.0,143059.0,90.0,3539.0,0.998165,0.007504501,0.6475471,2.405609E36,0.0,6547.343,901.863,19.44675,6.0,-9.0E30,66.2352,45.13937,0.3237735,0.02285797,0.0,55.08237,27.67513,61.92172,55.45873,25.2315,65.08048,920.2887,0.03008381,0.0,5.0,60.41623,0.0058551,415.7125,65.7683,51.07973,0.0,282.56082,20.266405,1.36542259E9,SoFiA J185014.59+201559.1
4.0,23.0,121.01,77.709,36.038,120.971,77.793,35.396,103.0,135.0,62.0,99.0,7.0,81.0,33122.0,75.0,846.0,0.965,1.143436,0.7408612,0.02235229,0.0,5349.978,190.2299,4.439032,6.0,-0.08214933,61.7852,41.42105,0.3704306,0.02415894,0.0,18.61582,14.91713,27.31043,15.63027,13.3318,18.87703,210.8154,0.0252414,0.0,0.0,36.04801,0.0056582,204.7277,65.91381,53.16766,0.0,281.09006,20.7964,1.36542541E9,SoFiA J184421.62+204747.0
5.0,25.0,153.999,91.104,37.901,154.374,90.874,37.225,140.0,169.0,73.0,114.0,6.0,89.0,28115.0,84.0,713.0,0.805787,0.002536155,0.2323533,0.0,0.0,7008.074,163.8388,3.749042,6.0,0.0,62.61971,42.36579,0.1161767,0.02538855,0.0,21.94689,13.91366,7.46217,19.01318,13.30316,9.823159,196.6701,0.02960542,2.214682,4.0,20.43091,0.0060406,194.2203,72.36918,59.35892,64.75717,280.49344,21.012781,1.36546214E9,SoFiA J184158.43+210046.0
6.0,26.0,199.939,94.953,33.51,199.953,94.802,32.936,180.0,223.0,83.0,122.0,6.0,89.0,18268.0,84.0,660.0,0.849548,0.2038619,0.2386003,0.03508938,0.0,3728.993,102.7819,2.894467,6.0,-0.08842485,50.47185,33.97067,0.1193001,0.03094088,0.0,26.03037,11.32998,-75.42511,24.23075,10.17977,-77.05673,123.2147,0.02877968,0.0,0.0,109.4398,0.0064355,141.8115,57.94769,33.76104,0.0,279.67886,21.072502,1.36537613E9,SoFiA J183842.93+210421.0
7.0,31.0,17.268,213.067,34.533,17.063,212.945,34.461,1.0,30.0,203.0,231.0,8.0,72.0,9545.0,65.0,377.0,0.719707,1.249681E-4,0.0746605,0.07500923,0.0,3918.893,45.29593,1.744486,6.0,-0.08075538,37.02669,24.74133,0.03733025,0.04470785,0.0,18.44118,10.31611,78.05174,16.43956,8.448388,88.34872,63.15486,0.02286278,0.0,0.0,85.63888,0.00561,115.2272,57.16938,48.66002,0.0,282.9697,23.040297,1.36540672E9,SoFiA J185152.73+230225.1
8.0,40.0,33.282,246.918,33.834,33.572,246.95,33.849,19.0,53.0,233.0,261.0,7.0,70.0,14256.0,64.0,470.0,0.733617,0.03208724,0.2054028,0.08020094,0.0,1829.184,87.7599,2.515925,6.0,-0.1126915,50.10534,33.77911,0.1027014,0.03271676,0.0,17.90594,9.909221,-61.09036,18.16234,7.934849,-61.80204,94.59233,0.02899894,1.387011,0.0,311.2915,0.005593,141.6481,50.68031,41.69554,48.57257,282.6767,23.610006,1.36539443E9,SoFiA J185042.40+233636.0
9.0,48.0,169.208,275.9,33.661,169.924,276.318,33.052,138.0,201.0,236.0,289.0,7.0,78.0,27396.0,72.0,883.0,0.890424,0.003228101,0.3706233,4.01826801E12,0.0,2030.839,186.6881,4.371228,6.0,-3074234.0,61.89461,42.07279,0.1853116,0.02494118,0.0,29.95332,27.68156,65.06417,28.78024,24.39277,-89.4197,191.0141,0.02751812,0.0,0.0,313.851,0.0058644,196.9848,61.60679,42.1569,0.0,280.19232,24.102507,1.36537843E9,SoFiA J184046.16+240609.0
10.0,49.0,195.288,256.629,37.994,195.244,256.729,37.613,189.0,202.0,245.0,264.0,8.0,84.0,6159.0,77.0,194.0,0.35633,0.00717945,0.1511309,0.1395879,0.0,1086.107,35.8031,0.9675635,6.0,-0.1007765,52.78114,35.56183,0.07556547,0.0311012,0.0,9.049338,6.459519,1.978411,8.048474,5.418903,3.186086,40.94001,0.03111785,0.04823687,0.0,10.86676,0.0070053,74.55172,70.54371,44.00652,73.91875,279.7338,23.772297,1.36546982E9,SoFiA J183856.11+234620.3
11.0,124.0,186.142,248.969,163.611,186.492,248.832,163.615,183.0,189.0,246.0,252.0,160.0,167.0,226.0,8.0,40.0,0.488675,1.670304,0.1052646,0.011754,0.0,25.88267,4.322432,0.7846103,4.0,-0.2954879,8.0,7.382088,79.55263,159.2955,0.0,3.37259,3.087344,78.4205,3.015667,2.774523,85.61429,3.938558,0.0615351,0.4794772,0.0,293.8868,0.0066476,39.41124,7.586524,5.110014,7.172406,279.8946,23.641985,1.36799514E9,SoFiA J183934.70+233831.1
12.0,127.0,220.912,212.553,163.158,220.667,212.358,163.296,218.0,223.0,210.0,215.0,161.0,166.0,114.0,6.0,27.0,0.375533,0.9977782,0.174226,0.008097949,0.0,3.956822,2.385978,0.5883831,3.0,-0.380817,5.93876,3.586961,80.08711,160.3808,0.0,2.51954,2.20663,-66.6621,2.649059,2.367951,-62.94628,2.149564,0.06312761,0.3534541,4.0,163.8965,0.0094002,21.4171,5.386492,3.77377,4.927269,279.28168,23.02776,1.36798874E9,SoFiA J183707.60+230139.9
13.0,129.0,180.079,272.994,289.299,179.905,272.968,289.351,176.0,185.0,269.0,277.0,195.0,391.0,5350.0,197.0,69.0,0.475404,0.5921414,0.0,2.427386E-4,0.0,5437.876,39.84401,0.3988163,4.0,-0.01469596,168.5732,82.30402,86.0,172.0147,0.0,4.6278,3.77827,79.87667,3.53322,3.21495,60.98576,51.27547,0.03084391,0.08358811,0.0,209.7139,0.0053953,129.9313,181.9044,163.4278,191.7571,280.01062,24.04538,1.37051507E9,SoFiA J184002.55+240243.4
14.0,137.0,64.764,150.529,817.44,64.844,150.506,817.509,53.0,75.0,128.0,177.0,792.0,846.0,13520.0,55.0,519.0,0.453108,0.003846667,0.2041779,0.03254719,0.0,3363.706,87.84791,3.111699,6.0,-0.01121389,40.4537,27.01049,392.6021,785.0424,0.0,27.54813,5.878316,16.40621,24.72618,5.304619,16.93546,97.09375,0.02898933,4.271618,0.0,197.1294,0.0048521,172.097,44.43167,34.55976,31.8371,282.09772,22.00627,1.38110016E9,SoFiA J184823.45+220022.6
15.0,208.0,200.614,214.114,2707.864,200.482,214.067,2707.522,199.0,202.0,211.0,217.0,2707.0,2709.0,44.0,3.0,20.0,0.347531,-99.0,99.0,99.0,99.0,-99.0,0.0,-0.0,3.0,0.0,2.0,2.0,1353.0,2607.0,0.0,2.971285,1.699085,-13.59736,2.839425,1.846786,-17.11502,0.9034548,0.03827311,0.4289708,0.0,161.4293,0.0087711,17.41082,1.781955,1.454889,1.503769,279.64703,23.060158,1.41897907E9,SoFiA J183835.28+230336.6
