name_1,ra_1,dec_1,GAL_LONG,GAL_LAT,flux,fluxerr,velcenter,velerr_1,w50max,velerr_1a,w20max,velerr_1b,DLG,MHI,a,ra_dec,dec_d,id,id_old,x_geo,y_geo,z_geo,x,y,z,x_min,x_max,y_min,y_max,z_min,z_max,n_pix,n_chan,n_los,rel,bf_a,bf_b1,bf_b2,bf_c,bf_chi2,bf_f_int,bf_f_peak,bf_flag,bf_w,bf_w20,bf_w50,bf_xe,bf_xp,bf_z,ell3s_maj,ell3s_min,ell3s_pa,ell_maj,ell_min,ell_pa,f_int,f_peak,f_wm50,flag,kin_pa,rms,snr_int,w20,w50,wm50,ra_2,dec_2,freq,name_2,Separation
J1900+2846,19:00:50,28:46:42,59.9,10.8,3.0,0.5,4378,6,232.0,12,267.0,18,62.7,9.4,a,285.20833333333337,28.778333333333336,199.0,395.0,101.436,286.353,1732.113,101.196,286.732,1732.073,99.0,105.0,284.0,289.0,1725.0,1739.0,346.0,15.0,34.0,0.473965,0.2758813,0.0573938,0.001691554,0.0,122.6695,3.127763,0.3113194,4.0,-0.1186177,15.59473,9.674524,862.0287,1724.119,0.0,2.879898,2.537893,-87.04816,2.611533,2.522419,37.74432,3.162012,0.03296757,0.2474222,4.0,316.4565,0.0045013,37.76481,13.68702,10.99272,12.33765,285.20544,28.77939,1.39942963E9,SoFiA J190049.30+284645.8,9.890271735260221
J1901+2456,19:01:37,24:56:42,56.4,9.0,3.0,0.5,9300,4,339.0,8,354.0,12,133.3,10.1,a,285.4041666666667,24.945,131.0,274.0,90.518,56.659,681.976,90.573,56.748,681.675,89.0,92.0,55.0,58.0,678.0,686.0,85.0,9.0,15.0,0.533907,6.136164E-5,0.04895734,0.02517923,0.0,13.00008,0.757502,0.1634777,4.0,-0.2398338,6.65079,4.564437,338.5245,677.2398,0.0,2.192377,1.89983,8.01334,2.046543,1.7814,40.53051,0.7741802,0.01901621,0.109506,0.0,75.62631,0.0048338,17.47478,6.55473,5.23078,5.905893,285.39386,24.945099,1.37837786E9,SoFiA J190134.53+245642.4,33.64455536404442
J1901+2747,19:01:13,27:47:24,59.0,10.3,1.3,0.3,3811,5,81.0,9,104.0,14,52.7,8.9,a,285.3041666666667,27.79,206.0,404.0,96.633,227.515,1839.297,96.486,227.431,1839.552,94.0,100.0,225.0,230.0,1832.0,1846.0,330.0,15.0,33.0,0.49753,0.2310396,0.05123127,0.007967426,0.0,66.40453,2.703285,0.2482486,4.0,-0.1060381,16.0,10.88156,915.5256,1831.106,0.0,3.124796,2.615904,11.50189,2.752362,2.521507,-79.05925,2.662171,0.02453711,0.2102198,0.0,42.99696,0.004729,30.98899,14.146,11.33809,12.06518,285.29227,27.790348,1.40158362E9,SoFiA J190110.14+274725.3,37.90896563294887
J1901+2820,19:01:52,28:20:01,59.5,10.4,1.7,0.4,3921,4,133.0,8,146.0,11,55.7,9.1,a,285.4666666666667,28.33361111111111,204.0,402.0,86.792,259.833,1804.562,87.098,259.864,1804.443,85.0,89.0,258.0,261.0,1802.0,1807.0,48.0,6.0,14.0,0.548206,1.985647E-6,0.009725148,0.02403437,0.0,5.651501,0.4779342,0.1458556,4.0,-0.350131,4.800017,3.194676,900.5049,1801.35,0.0,1.758307,1.496896,-64.63765,2.041951,1.496972,-81.43435,0.4799801,0.02120563,0.08832827,0.0,192.2031,0.0048654,14.23905,4.839049,3.105731,4.346427,285.47153,28.330662,1.40088E9,SoFiA J190153.16+281950.4,18.713827361827562
J1905+2842,19:05:25,28:42:32,60.2,9.9,2.3,0.4,7150,3,161.0,6,173.0,10,104.1,9.8,a,286.3541666666667,28.70888888888889,173.0,363.0,40.012,282.523,1104.176,40.101,282.574,1104.294,36.0,43.0,280.0,285.0,1098.0,1110.0,323.0,13.0,40.0,0.473475,2.19798E-6,0.005092268,0.004857468,0.0,57.59568,2.626879,0.3268498,4.0,-0.1358825,11.88324,7.930812,548.5025,1097.136,0.0,3.098733,2.48818,-37.8369,2.968651,2.566209,-66.29314,2.630133,0.02230189,0.2333933,0.0,1.773861,0.004774,30.65429,11.37624,9.219874,10.51046,286.36633,28.703812,1.38684787E9,SoFiA J190527.92+284213.7,42.53320365372934
J1905+2700,19:05:15,27:00:35,58.7,9.2,3.4,0.6,4737,5,198.0,10,217.0,15,64.1,9.5,a,286.31249999999994,27.009722222222223,188.0,379.0,42.0,180.76,1648.448,42.035,180.837,1648.623,41.0,43.0,179.0,182.0,1643.0,1654.0,96.0,12.0,10.0,0.531773,0.1234499,0.1623804,0.03013558,0.0,19.90606,1.072493,0.1054338,4.0,-0.08674778,12.0,10.84041,821.0812,1642.087,0.0,1.96119,1.549193,0.0,1.703703,1.459688,10.45316,1.05606,0.02014332,0.08924298,0.0,202.8563,0.0054254,19.86663,11.32903,10.11081,10.85273,286.30893,27.008041,1.39775706E9,SoFiA J190514.14+270029.0,12.95149310371295
J1903+2736,19:03:35,27:36:32,59.1,9.8,5.6,0.8,4225,6,372.0,12,409.0,18,57.9,9.6,a,285.89583333333337,27.608888888888888,195.0,389.0,63.936,218.047,1713.438,63.954,217.725,1713.205,60.0,68.0,215.0,221.0,1705.0,1722.0,528.0,18.0,49.0,0.437541,1.945119E-4,0.06306143,0.004206601,0.0,200.7714,3.643799,0.349459,4.0,-0.1069154,15.16906,10.10813,851.5315,1703.107,0.0,3.281941,2.969558,-9.701607,3.010235,2.823489,-8.5825,3.922165,0.02184091,0.3258748,0.0,323.6017,0.0046644,36.59462,15.49902,11.65104,12.40138,285.90384,27.626038,1.39905139E9,SoFiA J190336.92+273733.7,66.81105403718958
