id,id_old,x_geo,y_geo,z_geo,x,y,z,x_min,x_max,y_min,y_max,z_min,z_max,n_pix,n_chan,n_los,rel,bf_a,bf_b1,bf_b2,bf_c,bf_chi2,bf_f_int,bf_f_peak,bf_flag,bf_w,bf_w20,bf_w50,bf_xe,bf_xp,bf_z,ell3s_maj,ell3s_min,ell3s_pa,ell_maj,ell_min,ell_pa,f_int,f_peak,f_wm50,flag,kin_pa,rms,snr_int,w20,w50,wm50,ra,dec,freq,name
1.0,4.0,20.068,167.273,35.758,19.349,167.859,35.925,2.0,53.0,151.0,184.0,3.0,94.0,16815.0,92.0,661.0,0.771163,1.277114,0.3893928,0.0725471,0.0,1463.643,74.52422,1.358514,6.0,-0.1333165,79.10316,54.47376,0.1946964,0.01875113,0.0,27.29758,12.64055,67.61419,24.44977,11.67806,62.84805,81.08936,0.02793974,1.037898,4.0,202.936,0.0058019,108.0062,76.31334,55.45497,75.68467,312.9801,26.78728,1.36543603E9,SoFiA J205155.22+264714.2
2.0,7.0,4.135,28.252,57.92,3.955,28.342,57.01,2.0,6.0,25.0,31.0,53.0,69.0,163.0,17.0,27.0,0.617017,7.883212E-5,0.242935,0.0,0.0,35.11266,0.9347097,0.1661772,4.0,-0.2200002,7.975143,5.316988,24.12147,48.22,0.0,2.926362,2.354689,8.64336,2.97054,2.222062,24.09955,0.9005703,0.01495091,0.1168675,0.0,234.2683,0.0043111,16.8333,7.14731,4.178741,6.434067,313.22867,24.458153,1.36585856E9,SoFiA J205254.88+242729.3
3.0,8.0,3.938,29.264,16.582,4.038,29.426,16.684,1.0,6.0,26.0,34.0,7.0,30.0,402.0,24.0,39.0,0.740279,1.927085E-5,0.04506933,0.004692254,0.0,81.06482,2.033992,0.1614506,4.0,-0.09042519,18.25731,12.12275,1.522535,3.090425,0.0,3.752756,2.346537,-1.899889,3.828695,2.28236,2.305191,2.14041,0.01526137,0.1224439,0.0,146.6255,0.0041522,25.74247,18.66403,5.93709,18.12071,313.22745,24.47624,1.36505037E9,SoFiA J205254.58+242834.5
4.0,10.0,196.833,245.717,27.233,196.895,245.461,27.26,195.0,199.0,243.0,248.0,25.0,30.0,60.0,6.0,19.0,0.60788,0.1553406,0.04611677,0.01526097,0.0,17.52768,0.3697806,0.09449855,3.0,-0.3901081,5.828372,3.449785,12.02306,24.39011,0.0,2.724082,0.715262,21.55834,2.700139,1.52201,19.56965,0.3469516,0.01472701,0.05707612,0.0,44.32086,0.0042815,10.4617,5.032324,2.883271,4.961372,309.64606,28.082443,1.36526234E9,SoFiA J203835.06+280456.8
5.0,12.0,181.825,255.254,30.032,182.077,255.194,29.997,179.0,184.0,253.0,257.0,26.0,34.0,126.0,9.0,22.0,0.623077,0.04565904,0.03992449,0.02630905,0.0,11.35852,0.6617959,0.1177025,4.0,-0.1844327,7.762994,5.733962,13.01996,26.18443,0.0,2.437284,1.432581,-76.91241,2.52852,2.019138,82.5572,0.6623181,0.01470523,0.07957182,0.0,0.0,0.0050019,11.79623,7.672881,4.517113,7.335694,309.92404,28.247532,1.36531725E9,SoFiA J203941.77+281451.1
6.0,14.0,79.351,149.284,32.257,79.264,149.322,31.945,77.0,81.0,147.0,151.0,27.0,36.0,74.0,10.0,20.0,0.641155,0.2151062,0.0356637,0.0,0.0,4.747443,0.4140807,0.05845986,6.0,0.0,10.0,10.0,13.51783,27.24284,0.0,3.331916,1.614358,17.63283,3.077364,1.720988,33.59251,0.365532,0.01561411,0.03404332,0.0,332.1734,0.0048271,8.802874,9.771747,9.429366,9.686636,311.85962,26.487413,1.36535629E9,SoFiA J204726.31+262914.7
7.0,15.0,8.145,4.238,24.202,8.313,4.105,22.614,1.0,23.0,0.0,11.0,3.0,66.0,3511.0,64.0,178.0,0.721952,0.0707306,0.434515,0.2533795,0.0,665.9776,14.25308,0.5491396,6.0,-0.2161002,36.66362,24.88668,0.2172575,0.03959873,0.0,13.38775,4.314784,83.66243,10.80508,4.094842,82.25434,16.52191,0.02353207,0.0,1.0,271.4244,0.0046474,60.22984,54.40235,15.39024,0.0,313.14282,24.05505,1.36516915E9,SoFiA J205234.27+240318.2
8.0,17.0,4.281,52.847,17.881,4.238,52.965,17.938,2.0,7.0,49.0,56.0,7.0,28.0,295.0,22.0,35.0,0.769781,0.1996826,0.02665812,0.0,0.0,40.85212,1.223769,0.09575908,4.0,-0.1294697,21.99176,19.37876,2.513329,5.12947,0.0,3.737457,2.643115,-4.816842,3.687497,2.740043,-3.900139,1.201519,0.01340169,0.06307408,0.0,0.0,0.0040159,17.41959,19.73278,17.28429,19.20978,313.22998,24.868757,1.36507546E9,SoFiA J205255.20+245207.5
9.0,20.0,2.898,42.03,43.31,2.819,42.101,43.38,1.0,5.0,39.0,46.0,39.0,47.0,197.0,9.0,32.0,0.524479,0.2714095,0.03379285,1.39663898E9,0.0,46.7775,1.51545,0.2916335,6.0,-386.8485,8.0,4.73868,19.5169,39.26515,0.0,3.240876,2.542019,9.466104,3.288058,2.412133,-1.6908,1.540631,0.0182159,0.1890912,0.0,129.9701,0.004311,25.46146,7.593409,5.959469,7.064055,313.25314,24.687273,1.36558541E9,SoFiA J205300.76+244114.2
10.0,22.0,105.779,226.1,59.474,105.803,226.203,57.919,102.0,112.0,222.0,230.0,50.0,68.0,321.0,19.0,52.0,0.768522,0.2603914,0.02826186,0.005949175,0.0,101.0012,1.191486,0.08230245,3.0,-0.1172027,18.98603,15.94851,24.51413,49.1172,0.0,6.174044,2.202484,43.34596,5.953909,2.474879,50.68672,1.288602,0.01739548,0.086807,0.0,283.6872,0.0047067,15.28099,17.51013,12.632,14.98851,311.36673,27.770136,1.36587674E9,SoFiA J204528.02+274612.5
