id,id_old,x_geo,y_geo,z_geo,x,y,z,x_min,x_max,y_min,y_max,z_min,z_max,n_pix,n_chan,n_los,rel,bf_a,bf_b1,bf_b2,bf_c,bf_chi2,bf_f_int,bf_f_peak,bf_flag,bf_w,bf_w20,bf_w50,bf_xe,bf_xp,bf_z,ell3s_maj,ell3s_min,ell3s_pa,ell_maj,ell_min,ell_pa,f_int,f_peak,f_wm50,flag,kin_pa,rms,snr_int,w20,w50,wm50,ra,dec,freq,name
1.0,1.0,50.171,19.814,40.765,50.744,19.295,40.013,15.0,91.0,0.0,56.0,0.0,115.0,92591.0,116.0,1962.0,0.794459,10.72873,0.2923694,0.0186619,0.0,1395.539,424.055,6.600409,6.0,-0.1643316,86.27755,66.21788,0.1461847,0.02032531,0.0,39.70978,21.40296,69.3418,40.4616,20.53509,69.07307,434.9188,0.0549368,0.0,7.0,250.4366,0.0062937,227.2153,87.89636,67.96846,0.0,316.08527,19.817501,1.36551795E9,SoFiA J210420.46+194903.0
2.0,4.0,6.051,31.074,13.892,6.359,30.88,14.164,2.0,10.0,27.0,37.0,6.0,21.0,544.0,16.0,62.0,0.521093,1.824297E-7,7.646151E-4,0.006959268,0.0,73.09589,2.883275,0.3019485,4.0,-0.1181168,14.07297,9.346778,2.000382,4.118117,0.0,3.421212,3.267599,36.83763,4.386772,3.209819,-28.10167,3.12648,0.03033135,0.2384852,0.0,5.795455,0.0075079,17.85418,13.10406,6.787461,12.50256,316.87405,20.003565,1.36499994E9,SoFiA J210729.77+200012.8
3.0,5.0,103.956,124.233,45.848,100.582,125.572,44.254,0.0,224.0,25.0,208.0,0.0,166.0,857092.0,167.0,16659.0,1.0,26.72595,0.401799,0.01492333,0.0,24896.68,3725.891,56.93617,6.0,-0.3103277,91.79738,63.92836,0.2008995,0.0160766,0.0,121.2903,89.67888,63.78336,117.4404,88.14615,60.60523,3866.121,0.05588721,0.3384706,7.0,67.53594,0.0054469,768.8388,92.06634,70.1717,144.0,315.20465,21.59274,1.36560294E9,SoFiA J210049.12+213533.9
4.0,6.0,19.281,45.738,101.095,18.691,45.992,100.845,17.0,22.0,40.0,50.0,90.0,107.0,210.0,18.0,32.0,0.462148,0.1270212,0.02394716,0.01536429,0.0,30.45804,1.438704,0.1847143,4.0,-0.1769495,10.32192,6.648034,45.51197,91.17695,0.0,2.966107,1.940039,41.81431,4.120576,2.017919,20.29855,1.420617,0.04312643,0.1266198,4.0,170.9936,0.006734,14.59256,13.50721,4.667588,12.81499,316.6579,20.257896,1.36673715E9,SoFiA J210637.90+201528.4
5.0,8.0,12.681,49.457,53.487,13.297,49.356,49.187,9.0,15.0,47.0,53.0,0.0,105.0,1166.0,106.0,31.0,0.479119,0.8568811,0.02675178,0.0,0.0,1167.723,15.80805,0.2142203,6.0,0.0,109.7415,88.59184,0.01337589,0.01891183,0.0,3.255822,1.586774,50.17413,2.420406,1.655333,69.53885,18.14257,0.07075521,0.2217521,6.0,171.5427,0.0074062,71.73914,104.7964,100.7944,104.4615,316.75443,20.312983,1.36570176E9,SoFiA J210701.06+201846.7
6.0,11.0,192.922,7.752,29.871,193.221,7.353,29.262,178.0,206.0,0.0,19.0,3.0,71.0,7500.0,69.0,324.0,0.736793,0.1114947,0.1215122,7.961226E-4,0.0,791.6353,26.70456,0.742368,4.0,-0.03045024,51.66108,34.82021,0.06075611,0.03045024,0.0,16.92228,5.773594,60.84986,15.35405,5.029425,57.84221,29.14764,0.02765687,0.0,5.0,57.32369,0.0054837,61.44587,52.26204,46.02656,0.0,313.56277,19.615599,1.36530253E9,SoFiA J205415.06+193656.2
7.0,19.0,153.754,252.099,37.501,152.031,252.389,35.934,60.0,224.0,191.0,289.0,0.0,122.0,287769.0,123.0,6004.0,0.999462,7.595702,0.2586548,0.03036558,0.0,5284.216,1168.828,22.97501,6.0,-0.2958974,71.51508,49.50341,0.1293274,0.02057187,0.0,94.26916,36.14135,78.38326,92.53552,33.8718,76.41018,1207.964,0.04273438,0.0,6.0,75.94546,0.0056698,398.1874,75.53241,59.16488,0.0,314.27133,23.705185,1.36543616E9,SoFiA J205705.12+234218.7
8.0,21.0,111.681,220.503,29.05,111.884,220.556,27.125,105.0,126.0,216.0,224.0,5.0,74.0,2275.0,70.0,118.0,0.676879,4.134334E-6,0.01059916,0.00164771,0.0,443.3324,6.341208,0.2908995,4.0,-0.05076517,31.07478,20.89281,0.005299581,0.05076517,0.0,10.18063,3.720657,73.49344,8.870521,3.442805,78.03596,8.707559,0.02041916,0.1037277,0.0,90.0289,0.0056406,32.94257,64.75229,62.47775,64.95608,315.00208,23.17603,1.36525965E9,SoFiA J210000.50+231033.7
9.0,23.0,9.988,30.705,79.344,10.61,30.826,80.018,5.0,18.0,24.0,36.0,66.0,90.0,674.0,25.0,106.0,0.539515,5.360695E-7,0.002637645,0.002088331,0.0,292.0474,2.439257,0.1933749,3.0,-0.0924044,18.24821,12.08781,32.50132,65.0924,0.0,9.26103,3.860363,-79.96138,7.4472,4.73495,-73.06578,2.8379,0.0342145,0.1919837,0.0,286.213,0.0072056,15.17048,22.28916,11.12219,16.21646,316.7986,20.003508,1.36631974E9,SoFiA J210711.67+200012.6
10.0,29.0,151.94,6.372,90.92,151.857,6.228,90.945,148.0,155.0,4.0,10.0,86.0,99.0,301.0,14.0,47.0,0.482632,1.272183E-4,0.1174699,0.01597645,0.0,10.73834,1.440306,0.2535091,4.0,-0.2133732,8.143169,5.40239,41.55873,83.21337,0.0,3.072488,2.247876,31.22069,3.604613,2.95004,65.6144,1.442729,0.0220606,0.1767027,0.0,277.3366,0.0055756,15.01474,7.875835,4.517012,6.692608,314.29483,19.601637,1.36653875E9,SoFiA J205710.76+193605.9
