id,id_old,x_geo,y_geo,z_geo,x,y,z,x_min,x_max,y_min,y_max,z_min,z_max,n_pix,n_chan,n_los,rel,bf_a,bf_b1,bf_b2,bf_c,bf_chi2,bf_f_int,bf_f_peak,bf_flag,bf_w,bf_w20,bf_w50,bf_xe,bf_xp,bf_z,ell3s_maj,ell3s_min,ell3s_pa,ell_maj,ell_min,ell_pa,f_int,f_peak,f_wm50,flag,kin_pa,rms,snr_int,w20,w50,wm50,ra,dec,freq,name
1.0,5.0,165.916,55.771,45.106,176.149,53.085,42.469,63.0,224.0,0.0,124.0,5.0,130.0,524381.0,126.0,8050.0,0.879048,1.008695,4.840928,0.03465086,0.0,34417.95,3239.871,58.27819,6.0,-0.1568674,78.47027,53.84384,2.420464,0.01880346,0.0,68.74039,66.88988,2.118271,70.33843,66.2304,12.51947,3436.951,0.05311333,0.0,5.0,169.5694,0.0069807,680.0029,85.18888,69.5057,0.0,295.10938,20.380592,1.36556723E9,SoFiA J194026.25+202250.1
2.0,10.0,88.625,15.969,35.241,88.546,15.918,34.569,70.0,102.0,0.0,50.0,5.0,82.0,35256.0,78.0,850.0,0.600901,0.02698871,0.8270678,0.0,0.0,2693.018,214.5214,4.541282,6.0,0.0,68.36576,46.71832,0.4135339,0.02157777,0.0,25.35437,14.19041,-2.749191,22.04399,12.65555,-6.124319,223.8552,0.030967,0.0,1.0,0.7744756,0.0057699,206.6491,65.30056,55.80688,0.0,296.66537,19.764273,1.36540877E9,SoFiA J194639.69+194551.4
3.0,15.0,15.063,228.238,42.815,14.452,228.458,40.537,0.0,49.0,206.0,256.0,5.0,99.0,86882.0,95.0,1348.0,0.78753,14.6941,1.842687,0.03286454,0.0,7443.784,606.4902,10.58746,6.0,-0.103404,79.82226,58.07201,0.9213437,0.02195373,0.0,25.39729,19.07788,42.02914,24.05344,17.71155,36.24761,638.642,0.03024324,0.0,5.0,213.6953,0.0072665,298.1759,77.34341,70.92087,0.0,298.02042,23.298399,1.36552845E9,SoFiA J195204.90+231754.2
4.0,16.0,20.047,173.294,30.311,19.955,173.133,29.774,2.0,31.0,165.0,187.0,7.0,67.0,8424.0,61.0,327.0,0.724013,0.08670856,1.700777,0.2329477,0.0,1316.116,42.29796,1.400534,6.0,-0.01605888,43.10256,28.98774,0.8503887,0.03873996,0.0,16.8514,7.462548,54.95225,14.81876,7.391448,54.86292,49.35439,0.0255812,0.0,0.0,255.4403,0.0062592,85.98162,53.56614,36.50754,0.0,297.90924,22.377258,1.36531264E9,SoFiA J195138.22+222238.1
5.0,23.0,60.872,60.566,55.033,60.765,60.3,55.71,57.0,65.0,55.0,65.0,36.0,62.0,366.0,27.0,54.0,0.434268,0.06046106,0.01466176,0.1629935,0.0,341.3025,1.777059,0.1492978,6.0,-0.04677356,16.38527,10.73876,20.00733,40.10841,0.0,6.138758,2.399353,-31.54074,6.164601,2.321264,-35.24496,2.381073,0.01840429,0.1003787,0.0,138.5539,0.0046268,27.42966,21.59316,5.490452,21.77336,297.1617,20.502323,1.36583245E9,SoFiA J194838.81+203008.4
6.0,34.0,60.433,60.362,19.93,60.495,60.44,19.94,55.0,68.0,55.0,66.0,9.0,33.0,1363.0,25.0,99.0,0.6805,0.9827432,0.07222427,8.855624E-4,0.0,253.3525,8.856726,0.5226861,3.0,-0.08737683,25.66756,15.01375,2.536112,5.087377,0.0,8.096452,3.392891,-47.91055,6.669831,3.403876,-46.31643,8.405194,0.01969183,0.0,0.0,126.6061,0.0047975,47.45491,22.65117,19.37407,0.0,297.16653,20.504623,1.36511565E9,SoFiA J194839.97+203016.6
7.0,39.0,24.348,171.228,90.758,24.344,171.552,90.974,21.0,28.0,167.0,176.0,86.0,95.0,302.0,10.0,62.0,0.459387,0.247399,0.0489184,0.004852294,0.0,34.46248,1.982278,0.3323686,3.0,-0.210775,8.458293,5.550978,42.52446,85.21078,0.0,4.545618,3.782851,-7.243277,4.39855,3.808734,5.795003,1.979394,0.01733035,0.2658879,0.0,103.9762,0.0053242,21.39333,8.367444,6.72378,7.077419,297.8298,22.351688,1.36653926E9,SoFiA J195119.16+222106.1
8.0,41.0,55.182,127.943,106.088,55.766,127.948,105.738,52.0,59.0,126.0,130.0,101.0,109.0,159.0,9.0,34.0,0.403072,0.151353,0.0283437,0.02997533,0.0,28.6632,0.9464205,0.1587741,4.0,-0.1766212,8.0,6.105341,51.01417,102.1766,0.0,4.02233,1.407571,-82.84537,3.618471,1.943966,-78.69867,0.8912377,0.01919485,0.1100627,0.0,98.28784,0.0050144,14.18474,7.250655,5.170447,6.952519,297.2583,21.62938,1.3668352E9,SoFiA J194901.99+213745.8
9.0,80.0,144.711,250.346,327.992,144.891,250.324,327.871,142.0,149.0,246.0,254.0,319.0,340.0,474.0,22.0,51.0,0.539342,0.05512688,0.7633995,0.01522724,0.0,287.8993,2.449992,0.1579774,4.0,-0.06710882,22.92703,15.62516,157.8817,315.0671,0.0,3.789567,3.101217,-17.78384,3.526387,3.321579,-17.07162,3.073837,0.02471462,0.08395612,0.0,235.9123,0.0050455,28.01223,18.48942,15.57043,19.71633,295.65143,23.671278,1.37128704E9,SoFiA J194236.35+234016.6
10.0,81.0,142.176,247.06,372.859,141.906,247.024,372.516,133.0,150.0,238.0,254.0,361.0,400.0,2190.0,40.0,192.0,0.44869,0.01697975,0.0,0.2980806,0.0,473.1156,10.78714,0.7893263,6.0,-0.05439676,19.49732,12.86859,174.5,349.0896,0.0,9.487193,5.302024,-44.59879,8.739129,5.273861,-46.03349,12.52803,0.02174773,0.6930588,0.0,314.6816,0.0051773,51.80237,20.66923,16.22669,18.6734,295.70602,23.61643,1.37218176E9,SoFiA J194249.44+233659.2
11.0,82.0,136.209,241.56,332.978,136.559,241.403,333.086,134.0,138.0,239.0,244.0,328.0,337.0,91.0,10.0,18.0,0.463448,0.03768688,0.01772099,0.0116498,0.0,6.533507,0.356223,0.05861918,3.0,-0.2019183,7.927606,5.821794,163.5089,327.2019,0.0,2.584281,1.290087,55.70327,2.294888,1.817843,54.18954,0.3561779,0.0188403,0.0456262,0.0,0.0,0.004929,7.575052,7.927488,6.259855,7.455835,295.8036,23.523003,1.37139162E9,SoFiA J194312.86+233122.8
12.0,84.0,141.693,244.896,420.891,141.644,244.915,420.886,134.0,148.0,240.0,252.0,407.0,432.0,824.0,26.0,101.0,0.79057,0.1416467,0.02006718,0.003285198,0.0,284.4419,4.077089,0.3402098,4.0,-0.1087329,16.35298,10.70947,202.51,405.1087,0.0,8.266413,3.291319,-55.28074,8.632669,3.566594,-56.56902,4.799688,0.02162326,0.03516573,0.0,311.6284,0.0051248,32.62634,22.86199,12.02437,24.58309,295.7109,23.581285,1.37315136E9,SoFiA J194250.62+233452.6
13.0,86.0,138.347,244.746,450.574,138.428,244.795,450.417,131.0,144.0,241.0,251.0,445.0,456.0,519.0,12.0,95.0,0.577432,0.01248663,0.02952632,0.008798462,0.0,10.15339,2.91622,0.4943469,4.0,-0.195229,8.57504,5.649825,222.0148,444.1952,0.0,6.355843,4.705686,78.18807,6.363316,4.601709,-80.87175,2.944334,0.02767483,0.4523501,0.0,89.19156,0.0051226,25.22966,9.177954,5.3565,5.958648,295.7694,23.57946,1.3737431E9,SoFiA J194304.66+233446.1
14.0,88.0,143.524,247.52,532.147,143.851,247.371,532.462,138.0,147.0,241.0,253.0,521.0,536.0,319.0,16.0,73.0,0.486253,0.01658878,0.0215661,0.01043548,0.0,87.41147,1.817467,0.2904671,4.0,-0.2005429,8.881449,5.866353,261.5108,523.2005,0.0,6.158389,2.615003,-18.12118,6.482022,2.837748,-18.3076,1.980795,0.01867837,0.2882031,0.0,0.0,0.0052827,21.43504,6.272218,3.792499,5.507449,295.6706,23.622093,1.37538739E9,SoFiA J194240.94+233719.5
15.0,99.0,21.891,185.433,740.365,22.102,185.729,740.706,18.0,28.0,174.0,192.0,735.0,745.0,598.0,11.0,115.0,0.500345,0.09369893,0.04892069,0.01060041,0.0,26.39063,3.109973,0.5998956,4.0,-0.2421372,7.352073,4.816222,367.0245,734.2421,0.0,11.29662,4.187389,-12.49462,11.09373,4.045621,-8.826062,3.145507,0.01943719,0.419744,0.0,355.1211,0.0055503,23.17509,7.450284,4.925058,6.6082,297.873,22.587582,1.37956096E9,SoFiA J195129.52+223515.3
16.0,132.0,11.68,183.008,840.696,11.647,182.954,840.834,3.0,20.0,163.0,198.0,828.0,858.0,1636.0,31.0,281.0,0.710342,4.98962E-5,0.07679497,0.003095992,0.0,389.6929,8.754385,0.6472571,4.0,-0.08809863,19.35041,12.82811,411.0384,822.0881,0.0,16.98798,8.86702,15.43072,15.96381,8.089842,15.07377,10.6637,0.02782254,0.4757413,0.0,300.984,0.0067151,39.26095,23.64113,6.770876,23.56121,298.0612,22.539383,1.38156774E9,SoFiA J195214.68+223221.8
17.0,150.0,143.663,78.311,833.853,143.659,77.97,833.271,142.0,146.0,73.0,83.0,827.0,848.0,190.0,22.0,32.0,0.455775,3.967952E-4,0.9178835,0.02396528,0.0,75.27817,1.043695,0.1753523,4.0,-0.2058028,8.57431,5.645779,410.9589,821.2058,0.0,5.889133,2.055745,11.53219,5.631922,1.82703,11.28385,1.318494,0.01920317,0.0656296,0.0,8.130102,0.0058769,16.53957,18.16399,5.909835,18.24231,295.68555,20.798454,1.38141606E9,SoFiA J194244.53+204754.4
18.0,179.0,178.366,107.625,886.684,178.867,107.431,886.762,171.0,184.0,102.0,112.0,880.0,892.0,582.0,13.0,89.0,0.42866,0.199285,0.0396972,0.0,0.0,30.70923,4.465997,0.5681589,4.0,-0.1504826,11.49373,7.515265,439.5198,879.1505,0.0,8.876434,3.515824,68.14989,8.099333,3.298799,66.32576,4.360999,0.0290428,0.4203288,0.0,64.05514,0.0053861,33.56215,10.9866,6.770739,9.490724,295.05386,21.286154,1.38248819E9,SoFiA J194012.93+211710.2
19.0,188.0,143.828,242.314,909.601,143.862,242.013,910.045,138.0,149.0,237.0,251.0,900.0,917.0,338.0,18.0,81.0,0.60283,0.406963,0.05863869,0.0,0.0,157.6874,1.494677,0.1365532,6.0,0.0,18.46165,16.22634,449.5293,899.1545,0.0,7.741533,3.934871,36.94506,7.829712,4.831058,22.08475,1.916274,0.02172283,0.1189272,0.0,60.38499,0.0051175,20.36755,16.85913,13.88282,16.28912,295.67078,23.532759,1.38295475E9,SoFiA J194240.99+233157.9
20.0,196.0,139.936,237.704,1270.237,139.506,237.622,1270.709,137.0,147.0,227.0,246.0,1254.0,1284.0,405.0,31.0,96.0,0.630303,0.209895,0.02136366,0.06602929,0.0,397.7753,1.476649,0.06698655,6.0,-0.01890174,36.0,32.82624,626.0107,1252.076,0.0,11.55417,3.08883,-6.448192,11.78568,3.550126,-7.503953,2.486346,0.02149843,0.1038115,0.0,350.3766,0.0051249,24.10729,23.76043,9.036131,26.42059,295.75024,23.459806,1.39018304E9,SoFiA J194300.06+232735.3
21.0,197.0,143.739,243.423,1369.321,143.571,243.227,1369.256,135.0,155.0,236.0,250.0,1357.0,1383.0,1236.0,27.0,165.0,0.818102,5.441346E-4,0.02783646,0.004255708,0.0,756.9522,5.188661,0.6511829,4.0,-0.1525293,11.38917,7.532489,677.0139,1354.153,0.0,11.87295,5.740471,-69.3782,11.65701,5.437037,-70.73498,7.586492,0.02682558,0.3355292,0.0,296.8063,0.004878,44.23727,22.38021,20.4067,22.1531,295.676,23.553017,1.39215808E9,SoFiA J194242.24+233310.9
22.0,201.0,142.453,243.765,1521.495,142.313,243.818,1520.741,136.0,153.0,238.0,249.0,1507.0,1546.0,1138.0,40.0,152.0,0.75788,1.00514E-6,0.002358953,0.3995348,0.0,639.7251,4.28628,0.1811818,6.0,-0.09490478,34.18677,22.80417,749.0012,1498.044,0.0,8.951747,4.785521,82.24522,9.10381,4.881339,89.05011,6.401523,0.01995515,0.2605017,0.0,95.65369,0.0050952,37.57521,36.6818,23.6819,25.92805,295.69882,23.562962,1.39519411E9,SoFiA J194247.72+233346.7
23.0,204.0,146.042,244.505,1575.5,145.846,244.339,1575.703,141.0,150.0,236.0,249.0,1568.0,1580.0,216.0,13.0,56.0,0.559742,0.03501602,0.01743648,0.0152568,0.0,31.36115,1.144799,0.2205906,4.0,-0.2425884,7.378798,4.821947,784.0087,1568.243,0.0,9.556505,3.059291,23.45037,7.650588,3.706072,27.09482,1.227806,0.01819348,0.2349186,0.0,26.96793,0.005143,16.24364,7.455553,4.281824,4.618368,295.63452,23.571417,1.39629555E9,SoFiA J194232.29+233417.1
