id,id_old,x_geo,y_geo,z_geo,x,y,z,x_min,x_max,y_min,y_max,z_min,z_max,n_pix,n_chan,n_los,rel,bf_a,bf_b1,bf_b2,bf_c,bf_chi2,bf_f_int,bf_f_peak,bf_flag,bf_w,bf_w20,bf_w50,bf_xe,bf_xp,bf_z,ell3s_maj,ell3s_min,ell3s_pa,ell_maj,ell_min,ell_pa,f_int,f_peak,f_wm50,flag,kin_pa,rms,snr_int,w20,w50,wm50,ra,dec,freq,name
1.0,2.0,196.662,72.912,45.529,195.589,68.762,41.844,152.0,224.0,17.0,130.0,3.0,143.0,269602.0,141.0,4116.0,1.0,34.36258,1.460307,0.01357465,0.0,9290.107,888.6687,14.02756,6.0,-0.09153027,80.36693,64.69563,0.7301537,0.02402255,0.0,40.71481,34.59039,-17.43134,36.67833,31.7814,-15.42593,878.4898,0.04165108,3.437878,4.0,298.0575,0.0054702,309.4026,85.77129,65.3497,90.11954,302.2109,25.137594,1.36555456E9,SoFiA J200850.62+250815.3
2.0,5.0,87.672,28.952,43.11,88.299,29.296,38.897,1.0,160.0,0.0,74.0,3.0,173.0,362550.0,171.0,6279.0,0.999942,55.77206,1.634597,0.01178491,0.0,28974.58,1889.181,33.26348,6.0,-0.1176892,76.3585,58.34978,0.8172986,0.02335135,0.0,86.32966,30.51886,-81.35714,80.93502,28.60904,-79.65619,1972.531,0.05150084,0.0,5.0,127.2203,0.0053419,617.3917,79.33073,62.07335,0.0,304.18408,24.487228,1.36549555E9,SoFiA J201644.18+242914.0
3.0,11.0,107.199,169.822,44.119,107.377,168.44,41.269,0.0,223.0,119.0,228.0,3.0,140.0,611536.0,138.0,10153.0,1.0,22.53157,4.371099,0.003594554,0.0,33721.29,2456.707,45.68329,6.0,-0.008316497,75.95424,52.30292,2.185549,0.02067135,0.0,117.5093,46.3421,88.96033,107.1364,42.05239,86.84291,2614.948,0.04977626,0.0,5.0,257.248,0.0059017,566.7183,80.65206,63.63884,0.0,303.83633,26.807314,1.36554304E9,SoFiA J201520.72+264826.3
4.0,18.0,45.821,124.347,20.414,45.692,124.374,20.995,41.0,52.0,120.0,128.0,10.0,29.0,602.0,20.0,68.0,0.461926,0.414852,0.0612386,0.007942493,0.0,59.09216,3.513015,0.3041928,4.0,-0.1271853,21.40654,9.347475,4.530619,9.127185,0.0,4.727873,3.048619,56.73501,4.430823,3.184584,65.87527,3.476606,0.02632233,0.1704406,0.0,241.6908,0.0065367,21.67694,18.5263,6.460273,17.9975,304.98038,26.067614,1.36513677E9,SoFiA J201955.29+260403.4
5.0,28.0,44.749,123.269,41.286,44.752,123.217,41.387,41.0,48.0,119.0,126.0,34.0,53.0,227.0,20.0,41.0,0.440593,0.1347158,0.4892123,0.02312304,0.0,111.1295,1.221038,0.2332092,4.0,-0.2606965,6.904756,4.516688,15.24461,30.2607,0.0,3.588412,1.953357,48.61248,4.277329,2.271482,43.86257,1.639873,0.02311349,0.0862955,0.0,243.9391,0.0066181,16.55598,17.83809,16.35606,17.93694,304.99762,26.04819,1.36554547E9,SoFiA J201959.43+260253.5
6.0,32.0,138.74,217.837,33.842,138.605,217.782,33.297,136.0,141.0,215.0,223.0,12.0,58.0,588.0,47.0,40.0,0.54801,0.0378219,0.02930929,0.003767358,0.0,381.5039,2.58071,0.1974263,4.0,-0.09608791,18.30294,12.02574,3.014655,6.096088,0.0,4.400716,2.405282,19.51004,3.974615,2.260755,20.36747,3.942332,0.02201,0.1288269,0.0,30.3159,0.0056819,28.61356,38.85314,10.85793,38.5751,303.2495,27.628937,1.3653833E9,SoFiA J201259.88+273744.2
7.0,41.0,44.239,231.815,23.386,44.32,231.861,23.363,38.0,50.0,226.0,238.0,16.0,34.0,389.0,19.0,70.0,0.578778,0.374794,0.1473404,0.2095381,0.0,77.10341,1.897802,0.1246169,2.0,-0.1634374,20.0,15.79985,6.57367,13.04338,0.0,7.345322,1.467299,42.76074,7.189087,2.498956,52.96695,1.763276,0.01865799,0.09577922,0.0,0.0,0.0055214,16.27572,17.43929,16.48914,17.26303,305.02597,27.85892,1.36518426E9,SoFiA J202006.23+275132.1
8.0,55.0,17.442,228.484,70.56,17.368,228.656,70.734,13.0,21.0,223.0,233.0,59.0,78.0,457.0,20.0,57.0,0.49531,0.09399115,0.02228146,Infinity,0.0,64.75754,2.18074,0.2516446,6.0,-Infinity,11.68018,7.634469,29.51114,59.15402,0.0,4.76919,2.335469,28.34861,4.28554,3.353711,20.73322,2.263287,0.01982535,0.1363596,0.0,0.0,0.0064249,16.47848,16.12362,5.458076,16.39341,305.53326,27.80015,1.36613363E9,SoFiA J202207.99+274800.5
9.0,63.0,60.643,69.071,116.071,60.707,68.93,115.857,60.0,62.0,68.0,70.0,115.0,117.0,14.0,3.0,7.0,0.645845,0.2483768,0.03212144,0.09614913,0.0,1.055385,0.1550797,0.06209421,1.0,-0.3115311,2.0,2.0,57.51606,115.3115,0.0,1.42168,0.8917138,1.431203,1.512974,0.9431696,7.070489,0.16125,0.02374327,0.07256251,0.0,0.0,0.0050215,8.582282,2.0,2.0,1.976685,304.69443,25.1456,1.36703795E9,SoFiA J201846.66+250844.2
10.0,64.0,15.812,70.0,81.875,16.005,70.042,81.354,15.0,17.0,69.0,71.0,81.0,83.0,16.0,3.0,8.0,0.607801,0.2545652,0.08877108,0.1913093,0.0,1.313449E-14,0.1439165,0.0636413,1.0,-0.4016983,2.0,1.854363,40.04439,80.4017,0.0,,,,1.490435,1.31912,35.09267,0.08027522,0.01222174,0.03757768,0.0,0.0,0.0051716,4.305115,1.8,1.5,1.637789,305.51785,25.156286,1.3663465E9,SoFiA J202204.28+250922.6
11.0,67.0,181.773,188.318,88.455,181.808,188.35,88.416,180.0,183.0,187.0,190.0,87.0,90.0,22.0,4.0,10.0,0.495679,0.14217,0.05667179,0.05742759,0.0,6.510757E-14,0.3141936,0.1662448,3.0,-0.7950741,2.0,1.380984,43.52834,87.79507,0.0,1.077433,0.4218782,-9.826912,1.8363,1.353627,-41.00012,0.3141935,0.02581264,0.1413871,0.0,0.0,0.0081799,8.588868,2.0,1.380984,1.542684,302.44254,27.133272,1.36648806E9,SoFiA J200946.21+270759.8
12.0,76.0,16.616,196.25,117.914,16.764,196.144,117.978,7.0,27.0,190.0,200.0,114.0,121.0,432.0,8.0,110.0,0.433776,0.2554658,0.06733091,0.004214507,0.0,20.63495,3.068444,0.6801072,3.0,-0.2666627,6.158152,4.310777,56.53367,113.2667,0.0,12.60747,2.814883,65.71083,10.81945,2.955495,64.83929,3.0544,0.02185821,0.4314416,0.0,241.1819,0.0054922,26.75692,6.548765,4.804402,5.788929,305.53583,27.258099,1.36708045E9,SoFiA J202208.60+271529.2
13.0,77.0,144.125,142.75,120.75,144.155,142.979,120.546,143.0,145.0,142.0,144.0,120.0,122.0,16.0,3.0,8.0,0.605611,-99.0,99.0,99.0,99.0,-99.0,0.0,-0.0,3.0,0.0,2.0,2.0,59.5,20.0,0.0,1.966508,0.6673426,-43.42944,1.918221,1.027094,-49.16614,0.08519819,0.0160364,0.04058445,0.0,315.0,0.0030897,7.369589,1.757413,1.393533,1.47293,303.15176,26.381746,1.36713203E9,SoFiA J201236.42+262254.3
14.0,83.0,50.037,247.296,119.185,50.15,247.294,119.176,49.0,51.0,246.0,249.0,118.0,121.0,27.0,4.0,11.0,0.541961,0.291576,0.07515209,0.05541811,0.0,6.174185E-14,0.3486632,0.1416396,3.0,-0.8642424,2.0,2.0,59.03758,118.8642,0.0,2.495539,0.07404141,0.05052533,2.031673,1.293236,-11.23542,0.3486633,0.02473725,0.1568985,0.0,0.0,0.0076702,8.914852,2.0,2.0,1.919191,304.91885,28.117144,1.36710451E9,SoFiA J201940.52+280701.7
15.0,89.0,17.864,207.364,127.318,17.785,207.516,127.146,17.0,19.0,206.0,209.0,126.0,129.0,22.0,4.0,9.0,0.526284,0.1972499,0.04487869,0.03466789,0.0,7.359946E-11,0.2918668,0.1506212,3.0,-0.9565203,2.0,1.743377,63.02244,126.9565,0.0,1.731056,1.291262,-24.3065,1.570169,1.427554,-13.38067,0.2918667,0.02405149,0.13134,0.0,23.22746,0.0056098,11.63374,2.0,1.743377,1.838538,305.5197,27.44787,1.36726426E9,SoFiA J202204.73+272652.3
16.0,95.0,55.077,193.738,160.431,55.496,193.001,160.256,46.0,63.0,190.0,198.0,158.0,162.0,130.0,5.0,62.0,0.514487,0.1135476,0.04715663,0.02545853,0.0,1.500746,0.7282927,0.3522944,3.0,-0.611428,3.237859,1.88995,79.02358,158.6114,0.0,12.7935,3.260586,81.35527,11.55428,4.117491,77.25767,0.7183472,0.02609679,0.1699226,0.0,255.3066,0.0060537,10.4073,3.018056,1.886826,2.726221,304.809,27.212843,1.36792781E9,SoFiA J201914.16+271246.2
17.0,106.0,198.825,245.825,160.956,198.556,246.006,161.045,194.0,204.0,242.0,250.0,156.0,166.0,589.0,11.0,75.0,0.631174,0.2874365,0.2512449,0.005883802,0.0,54.03134,7.836955,1.129565,4.0,-0.1660681,9.833479,6.765893,77.12562,154.1661,0.0,5.226471,3.476736,63.55739,4.498878,3.274461,56.5794,7.693256,0.0491546,0.9681874,0.0,17.95649,0.0063725,49.74424,9.695563,7.016294,7.469289,302.11453,28.091177,1.36794355E9,SoFiA J200827.49+280528.2
18.0,117.0,107.588,285.412,164.706,108.011,285.687,164.33,106.0,110.0,284.0,286.0,164.0,166.0,17.0,3.0,10.0,0.598408,0.3151122,0.09901986,0.1700335,0.0,9.699923E-15,0.1662434,0.07877805,1.0,-0.4616194,2.0,1.632202,81.54951,163.4616,0.0,3.058824,2.980232E-8,-67.38014,2.794876,0.9449637,-76.32783,0.08746539,0.02023945,0.04084396,0.0,0.0,0.0046088,4.744454,1.8,1.415516,1.660543,303.82584,28.762077,1.36800947E9,SoFiA J201518.20+284543.5
